stage,iteration,operator,weight
1,15,random_routes,1.0
1,15,related_routes,0.75
1,15,low_utilization,1.5
1,15,worst_time_per_person,0.875
1,15,land_reassignment,1.6875
1,30,random_routes,0.75
1,30,related_routes,0.5625
1,30,low_utilization,1.8125
1,30,worst_time_per_person,2.739583
1,30,land_reassignment,2.203125
1,45,random_routes,0.8125
1,45,related_routes,0.421875
1,45,low_utilization,1.484375
1,45,worst_time_per_person,2.104687
1,45,land_reassignment,1.902344
1,60,random_routes,0.609375
1,60,related_routes,3.316406
1,60,low_utilization,1.113281
1,60,worst_time_per_person,2.661849
1,60,land_reassignment,1.676758
2,15,random_routes,1.875
2,15,related_routes,0.75
2,15,low_utilization,2.25
2,15,worst_time_per_person,2.75
2,15,land_reassignment,2.833333
2,30,random_routes,3.03125
2,30,related_routes,2.5625
2,30,low_utilization,3.0625
2,30,worst_time_per_person,5.0625
2,30,land_reassignment,5.125
2,45,random_routes,3.690104
2,45,related_routes,2.921875
2,45,low_utilization,2.546875
2,45,worst_time_per_person,5.046875
2,45,land_reassignment,4.96875
2,60,random_routes,3.517578
2,60,related_routes,2.503906
2,60,low_utilization,2.910156
2,60,worst_time_per_person,3.785156
2,60,land_reassignment,3.914062
