stage,operator,weight,calls,accepted,improved,new_global_best,feasible_repairs,failed_repairs,total_gain_minutes,mean_gain_when_improving,runtime_seconds,mean_destroyed_routes
1,land_reassignment,1.916667,4,4,1,1,4,0,11,11.0,17.455,5.25
1,low_utilization,1.0,2,2,0,0,2,0,0,0.0,20.026,5.0
1,random_routes,1.6875,5,5,1,1,5,0,0,0.0,52.922,5.8
1,related_routes,1.0,3,3,1,1,3,0,19,19.0,15.635,5.667
1,worst_time_per_person,2.05,7,6,4,4,7,0,49,12.25,47.072,5.429
2,land_reassignment,1.0,2,2,0,0,2,0,0,0.0,13.699,7.5
2,low_utilization,1.0,3,1,1,1,3,0,28,28.0,67.404,7.333
2,random_routes,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0
2,related_routes,1.0,1,1,1,0,1,0,5,5.0,6.66,6.0
2,worst_time_per_person,1.0,5,4,3,3,5,0,23,7.667,69.144,6.8
