stage,operator,weight,calls,accepted,improved,new_global_best
1,land_reassignment,1.580078,20,20,1,1
1,low_utilization,0.8125,9,9,0,0
1,random_routes,1.0,8,8,0,0
1,related_routes,1.0,10,10,0,0
1,worst_time_per_person,1.0,13,13,0,0
2,land_reassignment,0.5625,5,5,0,0
2,low_utilization,1.1875,14,14,1,0
2,random_routes,1.765625,17,17,2,1
2,related_routes,2.061384,21,21,7,2
2,worst_time_per_person,0.8125,3,3,0,0
