stage,global_iteration,iteration,elapsed_seconds,operator,destroyed_routes,destroyed_passengers,removed_aircraft_time_minutes,repair_variants,repaired_routes,repair_candidates_considered,repair_candidates_selected,repair_exact_candidate_builds,accepted,improved_current,new_global_best,current_aircraft_time_minutes,best_aircraft_time_minutes,current_passenger_time_minutes,best_passenger_time_minutes,current_flights,best_flights,temperature
1,47,47,250.70834,related_routes,4,70,959,207,4,225,225,0,1,0,0,14741,14741,121227,121227,89,89,0.0009979220033284597
1,48,48,250.79997,related_routes,4,76,703,135,4,138,138,0,1,0,0,14741,14741,121227,121227,89,89,0.0009829531732785328
1,49,49,251.549638,worst_time_per_person,4,76,1052,280,4,318,318,18,1,0,0,14741,14741,121227,121227,89,89,0.0009682088756793548
1,50,50,252.223481,low_utilization,4,70,699,437,4,441,441,0,1,0,0,14741,14741,121227,121227,89,89,0.0009536857425441644
1,51,51,252.424659,related_routes,5,92,794,320,5,324,324,0,1,0,0,14741,14741,121227,121227,89,89,0.0009393804564060019
1,52,52,252.561803,related_routes,4,73,614,219,4,219,219,0,1,0,0,14741,14741,121227,121227,89,89,0.0009252897495599119
1,53,53,261.339411,low_utilization,5,90,1054,816,5,876,876,288,1,0,0,14741,14741,121227,121227,89,89,0.0009114104033165132
1,54,54,263.494583,land_reassignment,5,92,788,319,5,324,324,54,1,0,0,14741,14741,121227,121227,89,89,0.0008977392472667655
1,55,55,263.685302,related_routes,4,73,465,144,4,144,144,0,1,0,0,14741,14741,121227,121227,89,89,0.000884273158557764
1,56,56,263.924121,worst_time_per_person,4,70,933,399,4,441,441,0,1,0,0,14741,14741,121227,121227,89,89,0.0008710090611793975
1,57,57,272.909451,random_routes,5,89,1019,510,5,576,576,315,1,0,0,14741,14741,121227,121227,89,89,0.0008579439252617066
1,58,58,273.11739,related_routes,5,95,839,429,5,435,435,0,1,0,0,14741,14741,121227,121227,89,89,0.0008450747663827809
1,59,59,273.271786,land_reassignment,4,76,613,221,4,225,225,0,1,0,0,14741,14741,121227,121227,89,89,0.0008323986448870392
1,60,60,273.422385,land_reassignment,4,76,613,221,4,225,225,0,1,0,0,14741,14741,121227,121227,89,89,0.0008199126652137336
1,61,61,274.548102,low_utilization,4,68,677,318,4,318,318,18,1,0,0,14741,14741,121227,121227,89,89,0.0008076139752355276
1,62,62,277.127501,related_routes,5,88,997,300,5,300,300,0,1,1,1,14741,14741,121218,121218,89,89,0.0007954997656069948
1,63,63,278.55539,land_reassignment,5,95,800,319,5,324,324,36,1,0,0,14741,14741,121218,121218,89,89,0.0007835672691228899
1,64,64,278.701776,land_reassignment,4,76,613,221,4,225,225,0,1,0,0,14741,14741,121218,121218,89,89,0.0007718137600860465
1,65,65,283.521091,related_routes,5,83,982,225,5,225,225,54,0,0,0,14741,14741,121218,121218,89,89,0.0007602365536847558
1,66,66,290.292517,random_routes,4,71,615,320,4,324,324,180,1,0,0,14741,14741,121218,121218,89,89,0.0007488330053794845
1,67,67,290.343068,related_routes,4,75,692,81,4,81,81,0,1,0,0,14741,14741,121218,121218,89,89,0.0007376005102987922
1,68,68,292.568591,related_routes,4,71,608,318,4,318,318,54,1,0,0,14741,14741,121218,121218,89,89,0.0007265365026443104
