stage,operator,weight,calls,accepted,improved,new_global_best,feasible_repairs,failed_repairs,total_gain_minutes,mean_gain_when_improving,runtime_seconds,mean_destroyed_routes
1,land_reassignment,1.916667,3,3,1,1,3,0,10,10.0,19.288,5.333
1,low_utilization,2.833333,4,4,2,2,4,0,91,45.5,47.673,5.0
1,random_routes,1.916667,3,3,1,1,3,0,0,0.0,43.349,5.667
1,related_routes,1.0,2,2,0,0,2,0,0,0.0,12.824,5.5
1,worst_time_per_person,0.9375,4,3,0,0,4,0,0,0.0,31.615,5.5
2,land_reassignment,1.0,2,2,0,0,2,0,0,0.0,15.288,7.5
2,low_utilization,1.0,4,2,1,0,4,0,0,0.0,85.622,7.0
2,random_routes,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0
2,related_routes,1.0,2,1,0,0,2,0,0,0.0,21.247,7.0
2,worst_time_per_person,1.0,2,1,0,0,2,0,0,0.0,31.58,6.5
