model,iterations,candidate_count,spearman,recall_at_25,ndcg_at_25,high_saving_coverage_at_25,best_move_hit_at_25,recall_at_50,ndcg_at_50,high_saving_coverage_at_50,best_move_hit_at_50
raw_distance,10,776,0.5503876770029784,0.66,0.8894119143485238,0.9046903507173675,0.9,0.77,0.9116078935251382,0.9346061208421541,1.0
distance_consensus,10,776,0.5191212948191009,0.656,0.8813685487306193,0.9104677968083542,0.9,0.786,0.9029694823808222,0.9378590574311639,0.9
distance_airport,10,776,0.4404344196015536,0.644,0.8806570854167637,0.9047395432814862,0.8,0.738,0.8885042909299878,0.9131679690026082,0.9
distance_fuel,10,776,0.43937044441529277,0.652,0.879874966526108,0.9032878021081351,1.0,0.746,0.8955941212557602,0.9222113605720071,1.0
distance_capacity,10,776,0.4114222787932879,0.62,0.8716358657189764,0.8988897223953811,0.6,0.764,0.8890381132888122,0.9203602342682577,0.8
full_static,10,776,0.47125013090625023,0.644,0.8871228160263295,0.9027291057895247,0.8,0.76,0.9019286833164648,0.9237283278055821,0.9
hard_pam_k3,10,776,0.5382915973962012,0.628,0.8817622817548356,0.894107241167609,0.9,0.754,0.9035268611487923,0.9249058056042357,1.0
selected_static,10,776,0.5503876770029784,0.66,0.8894119143485238,0.9046903507173675,0.9,0.77,0.9116078935251382,0.9346061208421541,1.0
selected_static_context,10,776,0.4559098583342822,0.584,0.8468740356021655,0.8781069310301591,0.8,0.742,0.8820345779362759,0.9207666454230858,1.0
