model,iteration,candidate_count,spearman,recall_at_25,ndcg_at_25,high_saving_coverage_at_25,best_move_hit_at_25,recall_at_50,ndcg_at_50,high_saving_coverage_at_50,best_move_hit_at_50
distance_fuel,6,43,0.6051290148288406,0.68,0.9121028169245,0.9228144989339019,1.0,1.0,0.963692731590307,1.0,1.0
distance_fuel,7,27,0.6458907408121465,0.96,0.950163227672754,0.9815229563269877,1.0,1.0,0.9611482199026575,1.0,1.0
distance_fuel,8,14,0.34763497383764064,1.0,0.9660514975900143,1.0,1.0,1.0,0.9660514975900143,1.0,1.0
distance_fuel,9,9,0.25,1.0,0.9495268362638901,1.0,1.0,1.0,0.9495268362638901,1.0,1.0
distance_capacity,0,141,0.2588994801745429,0.28,0.7341986054460272,0.7642893272635306,0.0,0.48,0.7816619808372997,0.8198871650211565,0.0
distance_capacity,1,131,0.3652850237546761,0.32,0.8298573389607309,0.8350373031224095,1.0,0.64,0.8587694927081495,0.8739189804278562,1.0
distance_capacity,2,121,0.391784220761355,0.36,0.8602947150355097,0.8535502958579881,0.0,0.64,0.882758873716694,0.8878262279137623,1.0
distance_capacity,3,114,0.41865670380659964,0.48,0.864800230245501,0.8858034321372855,0.0,0.62,0.8747526186668793,0.891174970243156,1.0
distance_capacity,4,99,0.3623899349630467,0.6,0.8581478850672767,0.8724506312722564,1.0,0.62,0.8693146968441393,0.8839651183484606,1.0
distance_capacity,5,77,0.3073726893279931,0.52,0.8580299684488094,0.8759286775631501,0.0,0.64,0.8438193708899051,0.8468298807281858,0.0
distance_capacity,6,43,0.47186346744649144,0.68,0.8729397484494086,0.9057569296375266,1.0,1.0,0.9380689644986477,1.0,1.0
distance_capacity,7,27,0.7172752970022034,0.96,0.9389171426261188,0.996080627099664,1.0,1.0,0.9420621118160254,1.0,1.0
distance_capacity,8,14,0.43736263736263736,1.0,0.9468153981742082,1.0,1.0,1.0,0.9468153981742082,1.0,1.0
distance_capacity,9,9,0.38333333333333336,1.0,0.9523576247361744,1.0,1.0,1.0,0.9523576247361744,1.0,1.0
full_static,0,141,0.2699553975706565,0.28,0.7323441626796517,0.7625189681335357,0.0,0.44,0.7726088340883324,0.8081805359661495,1.0
full_static,1,131,0.3643276361003745,0.32,0.8277612808533685,0.8331030671456203,0.0,0.54,0.8294166709232341,0.834471248672432,0.0
full_static,2,121,0.4161509013547207,0.48,0.8773223657959538,0.8763313609467456,1.0,0.56,0.8732394345910227,0.8737234559896255,1.0
full_static,3,114,0.42281797944874894,0.56,0.8722903838919119,0.8655226209048362,1.0,0.6,0.8833643394699864,0.8872640707362693,1.0
full_static,4,99,0.3818058697824272,0.56,0.8477771050291466,0.8520556814503075,1.0,0.68,0.8735440665866399,0.8893041466453105,1.0
full_static,5,77,0.6502172987881492,0.6,0.8956676194052557,0.8941307578008916,1.0,0.78,0.9306206071315254,0.9443398200460348,1.0
full_static,6,43,0.6476320425622246,0.68,0.9337712674680616,0.947547974413646,1.0,1.0,0.9696017461300304,1.0,1.0
full_static,7,27,0.7319385057995228,0.96,0.9728764081985573,0.996080627099664,1.0,1.0,0.9754735673024899,1.0,1.0
full_static,8,14,0.41098901098901097,1.0,0.946662896476131,1.0,1.0,1.0,0.946662896476131,1.0,1.0
full_static,9,9,0.4166666666666667,1.0,0.9647546704652562,1.0,1.0,1.0,0.9647546704652562,1.0,1.0
hard_pam_k3,0,141,0.36574556835325395,0.36,0.7391831350253792,0.7802225594334851,1.0,0.44,0.7841097289510577,0.8300423131170663,1.0
hard_pam_k3,1,131,0.4363276211237555,0.36,0.8137853805182965,0.8198397347333517,0.0,0.54,0.8344065280275469,0.8473676225155515,1.0
hard_pam_k3,2,121,0.4849469893900102,0.44,0.8675214111537424,0.8674556213017751,1.0,0.6,0.879422180741473,0.8849084130329065,1.0
hard_pam_k3,3,114,0.49951690345729344,0.48,0.856654732783761,0.8705148205928237,1.0,0.62,0.8831708868637036,0.9034177860908009,1.0
hard_pam_k3,4,99,0.44609370105004725,0.52,0.8522063308478799,0.8465522822920039,1.0,0.62,0.8712895877840454,0.8756006406833956,1.0
hard_pam_k3,5,77,0.5469052080895195,0.56,0.9133281506793083,0.912704309063893,1.0,0.72,0.9111398789128317,0.9077212806026366,1.0
hard_pam_k3,6,43,0.4118824783886685,0.6,0.8726071219894507,0.8622601279317698,1.0,1.0,0.9583676758077975,1.0,1.0
hard_pam_k3,7,27,0.7754355251566829,0.96,0.9546107318769601,0.9815229563269877,1.0,1.0,0.9656363217258904,1.0,1.0
hard_pam_k3,8,14,0.6160619789527808,1.0,0.9748575629595094,1.0,1.0,1.0,0.9748575629595094,1.0,1.0
hard_pam_k3,9,9,0.8,1.0,0.9728682597140681,1.0,1.0,1.0,0.9728682597140681,1.0,1.0
selected_static,0,141,0.26960380248405547,0.36,0.7391831350253792,0.7802225594334851,1.0,0.46,0.7776679515529098,0.8190409026798308,1.0
selected_static,1,131,0.3886166468576641,0.36,0.8143053732824908,0.8206686930091185,0.0,0.56,0.8439807970928219,0.8610226065847367,1.0
selected_static,2,121,0.4659980858483427,0.48,0.8692094000438809,0.8701183431952663,1.0,0.62,0.8904714515190332,0.9001458907440428,1.0
selected_static,3,114,0.45694115267226065,0.56,0.8544827312198705,0.8667706708268331,1.0,0.58,0.8826076636079334,0.9018874341098453,1.0
selected_static,4,99,0.3987256025224003,0.56,0.8628429822163757,0.8627387504046617,1.0,0.66,0.8928525170024426,0.9072788752447055,1.0
selected_static,5,77,0.6451392330383594,0.6,0.9177912238357837,0.9190193164933135,1.0,0.82,0.9449571491166164,0.9566854990583804,1.0
selected_static,6,43,0.6341076708896728,0.72,0.930719736585407,0.9458422174840085,1.0,1.0,0.9669445829362269,1.0,1.0
selected_static,7,27,0.7928190290452201,0.96,0.9554369906998852,0.9815229563269877,1.0,1.0,0.9664492518472317,1.0,1.0
selected_static,8,14,0.5852588800051418,1.0,0.9748156893307495,1.0,1.0,1.0,0.9748156893307495,1.0,1.0
selected_static,9,9,0.8666666666666667,1.0,0.975331881245416,1.0,1.0,1.0,0.975331881245416,1.0,1.0
selected_static_context,0,141,0.15048772940778893,0.24,0.68893713861449,0.7392513909964593,1.0,0.4,0.7481556123141648,0.8055007052186177,1.0
selected_static_context,1,131,0.25086623557642984,0.24,0.748267838568388,0.7651284885327438,0.0,0.48,0.7987207791133377,0.8311333636777424,1.0
selected_static_context,2,121,0.3353201646908746,0.36,0.7881068536115579,0.8053254437869822,1.0,0.6,0.8441993762801938,0.8787485816177663,1.0
selected_static_context,3,114,0.33837058403855697,0.36,0.7862838728390074,0.8262090483619344,0.0,0.58,0.8434265058274968,0.8903247746981806,1.0
selected_static_context,4,99,0.270104601215538,0.48,0.7994694943704284,0.8348980252508903,1.0,0.62,0.842746022100223,0.8814735718099306,1.0
selected_static_context,5,77,0.48255188309401337,0.52,0.8640547702626321,0.8922734026745914,1.0,0.74,0.8933703166315821,0.9204854572086211,1.0
selected_static_context,6,43,0.5315934891846169,0.68,0.902499305086698,0.9364605543710022,1.0,1.0,0.9474741079641786,1.0,1.0
selected_static_context,7,27,0.7523679986991063,0.96,0.9480157249987448,0.9815229563269877,1.0,1.0,0.9591477014618746,1.0,1.0
selected_static_context,8,14,0.6307692307692307,1.0,0.9749980095152739,1.0,1.0,1.0,0.9749980095152739,1.0,1.0
selected_static_context,9,9,0.8166666666666667,1.0,0.9681073481544346,1.0,1.0,1.0,0.9681073481544346,1.0,1.0
