left,right,distance,consensus,airport,fuel,capacity,left_demand,right_demand,separate_seats,combined_seats,saved_seats,combined_utilization
F001,F002,0.3766037735849057,0.242949657316875,0.8377358490566038,0.7766037735849056,0.6722641509433962,42,45,90,87,3,1.0
F001,F003,0.5275471698113208,0.242949657316875,0.9060377358490566,0.7766037735849056,0.11716981132075471,42,19,62,62,0,0.9838709677419355
F001,F004,0.46566037735849053,0.242949657316875,0.9286792452830188,0.7766037735849056,0.5615094339622642,42,27,71,69,2,1.0
F001,F005,0.8735849056603774,0.8509166882080255,0.7709433962264151,0.7766037735849056,0.5615094339622642,42,27,71,69,2,1.0
F001,F006,0.4528301886792453,0.242949657316875,0.6079245283018868,0.659622641509434,0.5615094339622642,42,34,78,76,2,1.0
F001,F007,0.4207547169811321,0.242949657316875,0.6377358490566039,0.7766037735849056,0.4420754716981132,42,28,71,70,1,1.0
F001,F008,0.580754716981132,0.242949657316875,0.8573584905660377,0.8350943396226416,0.6722641509433962,42,22,67,64,3,1.0
F001,F009,0.6603773584905661,0.4807360643988245,0.5181132075471698,0.2516981132075472,0.5615094339622642,42,27,71,69,2,1.0
F001,F010,0.5275471698113208,0.242949657316875,0.8833962264150943,0.7766037735849056,0.4420754716981132,42,31,74,73,1,1.0
F001,F011,0.6777358490566038,0.4807360643988245,0.9471698113207547,0.7256603773584906,0.6722641509433962,42,29,74,71,3,1.0
F001,F012,0.9064150943396226,0.8509166882080255,0.9815094339622642,0.9328301886792453,0.5615094339622642,42,34,78,76,2,1.0
F001,F013,0.3501886792452831,0.242949657316875,0.23245283018867924,0.459622641509434,0.4420754716981132,42,31,74,73,1,1.0
F001,F014,0.7366037735849056,0.7058224433035845,0.4479245283018868,0.3007547169811321,0.4420754716981132,42,28,71,70,1,1.0
F001,F015,0.7845283018867925,0.7058224433035845,0.8283018867924529,0.7766037735849056,0.23188679245283017,42,23,67,66,1,0.9848484848484849
F001,F016,0.9109433962264151,0.9294506967326246,0.5739622641509434,0.3007547169811321,0.7460377358490566,42,25,71,67,4,1.0
F001,F017,0.7943396226415094,0.8509166882080255,0.3109433962264151,0.3007547169811321,0.5615094339622642,42,27,71,69,2,1.0
F001,F018,0.9415094339622642,0.8509166882080255,0.8215094339622642,0.5279245283018867,0.5615094339622642,42,37,81,79,2,1.0
F001,F019,0.9694339622641509,0.8643391615585597,0.8456603773584905,0.9328301886792453,0.4420754716981132,42,44,87,86,1,1.0
F001,F020,0.8833962264150943,0.9294506967326246,0.42000000000000004,0.3007547169811321,0.5615094339622642,42,46,90,88,2,1.0
F001,F021,0.7433962264150944,0.07853400852459914,0.9060377358490566,0.8350943396226416,0.4420754716981132,42,51,94,93,1,1.0
F001,F022,0.9660377358490566,0.9294506967326246,0.7283018867924529,0.5279245283018867,0.5615094339622642,42,46,90,88,2,1.0
F001,F023,0.5762264150943397,0.07853400852459914,0.6132075471698113,0.659622641509434,0.7460377358490566,42,25,71,67,4,1.0
