name,ranker,pair_budget,total_aircraft_time_minutes,total_passenger_travel_time_minutes,total_flights,total_fuel_consumption_kg,seat_utilization,served_passengers,unserved_optional_passengers,candidate_evaluations,route_evaluations,high_value_moves_found_ge_100min,accepted_moves,primary_improvement_minutes,improvement_per_route_evaluation,baseline_seconds,search_seconds,elapsed_seconds,time_to_first_improvement_seconds,time_to_best_seconds,gate_pass,metrics_match
raw_distance,raw_distance,25,15683,120949,99,128016.7,0.4696693575794591,1600,0,226,636,106,11,1539,2.419811320754717,20.665694900002563,9.82409490000282,30.489790799998445,0.2529169000044931,9.81883409999864,True,True
best_static,static_selected_distance,25,15683,120949,99,128016.7,0.4696693575794591,1600,0,226,636,106,11,1539,2.419811320754717,22.082393500000762,10.444893200001388,32.527287400000205,0.26019629999791505,10.441991799998505,True,True
best_static_context,static_selected_distance_context,25,15693,120932,99,128473.3,0.47044202813635216,1600,0,234,562,96,11,1529,2.7206405693950177,21.697962500002177,8.846362299998873,30.544325499999104,0.16373339999699965,8.84367629999906,True,True
