leg_order,leg,departure_load,capacity,arrival_fuel_kg,departure_fuel_kg,reserve_kg,refuel_at_destination
0,A03→F039,19,19,953.3000000000001,953.3000000000001,200,0
1,F039→F048,18,19,863.4000000000001,863.4000000000001,200,0
2,F048→F038,0,19,814.1000000000001,1600,200,1
3,F038→F045,19,19,1510.1,1510.1,200,0
4,F045→A03,18,19,756.0999999999999,756.0999999999999,200,0
