stage,operator,weight,calls,accepted,improved,new_global_best,feasible_repairs,failed_repairs,total_gain_minutes,mean_gain_when_improving,runtime_seconds,mean_destroyed_routes
1,land_reassignment,1.4125,6,6,1,1,6,0,12,12.0,17.653,5.333
1,low_utilization,2.816964,10,10,3,3,10,0,21,7.0,47.648,5.2
1,random_routes,3.75,6,6,1,1,6,0,9,9.0,29.317,5.5
1,related_routes,3.25,6,4,3,3,6,0,27,9.0,35.067,5.5
1,worst_time_per_person,1.5625,6,5,1,1,6,0,0,0.0,23.775,5.5
2,land_reassignment,0.75,3,1,1,1,3,0,47,47.0,16.339,7.0
2,low_utilization,1.833333,5,3,1,1,5,0,8,8.0,26.624,6.8
2,random_routes,2.166667,5,5,3,2,5,0,0,0.0,24.233,7.0
2,related_routes,2.0,6,3,2,2,6,0,8,4.0,46.918,7.0
2,worst_time_per_person,3.083333,7,7,5,4,7,0,114,22.8,42.32,7.286
