operator,uses,repair_success,accepted,primary_improvement,new_best,primary_gain_minutes,runtime_seconds,mean_local_master_size,max_local_master_size
high_cost_route,0,0,0,0,0,0,0.0,0.0,0
low_utilization_route,7,7,7,4,5,139,73.826849,1054.714,1220
shared_facility_flow,3,3,3,0,1,0,18.782785,916.333,1071
land_heavy_route,0,0,0,0,0,0,0.0,0.0,0
