operator,uses,repair_success,accepted,primary_improvement,new_best,primary_gain_minutes,runtime_seconds,mean_local_master_size,max_local_master_size
high_cost_route,21,21,6,0,1,0,60.014999,1002.381,1268
low_utilization_route,34,34,19,0,5,0,122.265635,949.324,1293
shared_facility_flow,23,23,12,0,6,0,85.876201,952.435,1298
land_heavy_route,19,19,9,0,1,0,55.468704,1036.053,1278
