stage,operator,weight,calls,accepted,improved,new_global_best,feasible_repairs,failed_repairs,total_gain_minutes,mean_gain_when_improving,runtime_seconds,mean_destroyed_routes
1,land_reassignment,1.386719,9,9,1,1,9,0,10,10.0,7.89,3.556
1,low_utilization,1.386719,14,14,1,1,14,0,14,14.0,51.254,3.714
1,random_routes,1.0,10,10,0,0,10,0,0,0.0,31.256,3.4
1,related_routes,1.783482,19,18,2,2,19,0,0,0.0,46.023,3.474
1,worst_time_per_person,0.671875,8,8,0,0,8,0,0,0.0,17.218,3.25
2,land_reassignment,1.0,12,12,0,0,12,0,0,0.0,7.04,3.667
2,low_utilization,1.0,12,12,0,0,12,0,0,0.0,22.716,3.5
2,random_routes,0.894531,5,5,0,0,5,0,0,0.0,12.567,4.0
2,related_routes,1.836049,18,18,3,3,18,0,5,1.667,21.352,3.444
2,worst_time_per_person,3.413504,13,12,2,2,13,0,7,3.5,31.632,3.462
