stage,global_iteration,iteration,elapsed_seconds,operator,destroyed_routes,destroyed_passengers,removed_aircraft_time_minutes,repair_variants,repaired_routes,accepted,improved_current,new_global_best,current_aircraft_time_minutes,best_aircraft_time_minutes,current_passenger_time_minutes,best_passenger_time_minutes,current_flights,best_flights,temperature
1,1,1,3.715889,low_utilization,3,41,579,118,3,1,0,0,15371,15371,120870,120870,95,95,0.002
1,2,2,11.858438,low_utilization,4,58,641,219,4,1,1,1,15357,15357,120538,120538,95,95,0.00197
1,3,3,17.355432,random_routes,4,69,628,213,4,1,0,0,15357,15357,120538,120538,95,95,0.00194045
1,4,4,21.505285,worst_time_per_person,3,54,770,134,3,1,0,0,15357,15357,120538,120538,95,95,0.0019113432500000001
1,5,5,25.742845,related_routes,4,71,632,144,4,1,0,0,15357,15357,120538,120538,95,95,0.00188267310125
1,6,6,27.936088,random_routes,3,50,476,77,3,1,0,0,15357,15357,120538,120538,95,95,0.00185443300473125
1,7,7,34.091985,random_routes,4,69,715,205,4,1,0,0,15357,15357,120538,120538,95,95,0.0018266165096602813
1,8,8,39.018796,random_routes,4,66,601,139,4,1,0,0,15357,15357,120538,120538,95,95,0.0017992172620153772
1,9,9,44.325277,worst_time_per_person,4,65,958,181,4,1,0,0,15357,15357,120538,120538,95,95,0.0017722290030851465
1,10,10,46.845799,worst_time_per_person,3,48,634,140,3,1,0,0,15357,15357,120538,120538,95,95,0.0017456455680388693
1,11,11,48.349641,related_routes,4,67,808,77,4,1,0,0,15357,15357,120538,120538,95,95,0.0017194608845182862
1,12,12,51.957276,low_utilization,3,41,433,138,3,1,0,0,15357,15357,120538,120538,95,95,0.0016936689712505118
1,13,13,54.250784,related_routes,3,54,412,80,3,1,0,0,15357,15357,120538,120538,95,95,0.0016682639366817542
1,14,14,54.599493,land_reassignment,3,53,820,34,3,1,0,0,15357,15357,120538,120538,95,95,0.001643239977631528
1,15,15,55.004068,worst_time_per_person,3,44,727,30,3,1,0,0,15357,15357,120538,120538,95,95,0.001618591377967055
1,16,16,57.426224,related_routes,3,48,360,81,3,1,0,0,15357,15357,120538,120538,95,95,0.001594312507297549
1,17,17,58.822164,related_routes,4,64,716,36,4,1,1,1,15357,15357,119978,119978,95,95,0.001570397819688086
