accepted_moves,accepted_useful_repair_rate,accepted_useful_repairs,basin,best_aircraft_time,budget_policy,config,exact_evals_to_17218,exact_evaluated,flights,fuel,initial_aircraft_time,initial_flights,lns_runtime_seconds,ml_inference_seconds,ml_overhead_fraction,new_best_count,passenger_time,positive_candidate_rate,positive_candidates,repairs,run_id,runtime_seconds,seed,stop_reason,time_to_17218,utilization,validator_pass
10,0.35714285714285715,5,independent_ml602,17360,exact,hybrid_lightgbm_safe,,2671,96,135461.7,17391,96,82.461763,0.659465,0.007997221694132346,3,255383,0.007487832272557095,20,14,20260816-q2-final-ml-ab-exact-independent_ml602-hybrid_lightgbm_safe-s711,83.750333,711,exact_evaluation_budget,,0.923888292084285,True
12,0.3076923076923077,4,independent_ml602,17381,exact,classical_geometry,,2664,96,135460.8,17391,96,80.5778,0.0,0.0,1,255280,0.006006006006006006,16,13,20260816-q2-final-ml-ab-exact-independent_ml602-classical_geometry-s712,80.712729,712,exact_evaluation_budget,,0.9245263336030174,True
13,0.4,6,independent_ml602,17371,exact,geometry_lr,,2664,96,135362.2,17391,96,76.618796,0.452187,0.005901776373515449,3,254563,0.009009009009009009,24,15,20260816-q2-final-ml-ab-exact-independent_ml602-geometry_lr-s712,77.932205,712,exact_evaluation_budget,,0.9240510293564956,True
12,0.46153846153846156,6,independent_ml602,17372,exact,geometry_lightgbm,,2509,96,135478.6,17391,96,83.276931,0.372971,0.004478683298259394,5,254896,0.009166998804304504,23,13,20260816-q2-final-ml-ab-exact-independent_ml602-geometry_lightgbm-s712,84.515758,712,exact_evaluation_budget,,0.9228305767169713,True
12,0.3076923076923077,4,independent_ml602,17371,exact,hybrid_lightgbm_safe,,2515,96,135365.8,17391,96,83.202139,0.52347,0.0062915449805923855,4,255173,0.006361829025844931,16,13,20260816-q2-final-ml-ab-exact-independent_ml602-hybrid_lightgbm_safe-s712,84.490129,712,exact_evaluation_budget,,0.9246494148214306,True
7,0.2222222222222222,2,global_best,17218,wall,classical_geometry,0,1877,95,132473.9,17218,95,49.190471,0.0,0.0,0,254656,0.004262120404901438,8,9,20260816-q2-final-ml-ab-wall-global_best-classical_geometry-s711,49.309822,711,wall_clock_limit,0.0,0.9270255505126912,True
5,0.3333333333333333,2,global_best,17218,wall,geometry_lr,0,1142,95,132479.7,17218,95,45.805184,0.251978,0.005501080401729201,1,254538,0.0070052539404553416,8,6,20260816-q2-final-ml-ab-wall-global_best-geometry_lr-s711,47.037849,711,wall_clock_limit,0.0,0.9276894667174044,True
5,0.16666666666666666,1,global_best,17218,wall,geometry_lightgbm,0,1215,95,132473.9,17218,95,49.753101,0.215186,0.00432507714443769,0,254656,0.0032921810699588477,4,6,20260816-q2-final-ml-ab-wall-global_best-geometry_lightgbm-s711,51.018437,711,wall_clock_limit,0.0,0.9270255505126912,True
6,0.0,0,global_best,17218,wall,hybrid_lightgbm_safe,0,1387,95,132473.9,17218,95,50.372222,0.344334,0.006835791361357852,0,254656,0.0,0,7,20260816-q2-final-ml-ab-wall-global_best-hybrid_lightgbm_safe-s711,51.623154,711,wall_clock_limit,0.0,0.9270255505126912,True
9,0.0,0,global_best,17218,wall,classical_geometry,0,1866,95,132473.9,17218,95,48.755994,0.0,0.0,0,254656,0.0,0,9,20260816-q2-final-ml-ab-wall-global_best-classical_geometry-s712,48.878016,712,wall_clock_limit,0.0,0.9270255505126912,True
