stage,iteration,operator,weight
1,15,random_routes,2.1
1,15,related_routes,1.0
1,15,low_utilization,1.0
1,15,worst_time_per_person,0.9375
1,15,land_reassignment,0.875
1,30,random_routes,1.91875
1,30,related_routes,3.083333
1,30,low_utilization,1.0
1,30,worst_time_per_person,0.953125
1,30,land_reassignment,1.65625
1,45,random_routes,1.689063
1,45,related_routes,3.348214
1,45,low_utilization,1.0
1,45,worst_time_per_person,0.964844
1,45,land_reassignment,1.742188
1,60,random_routes,1.266797
1,60,related_routes,2.667411
1,60,low_utilization,0.75
1,60,worst_time_per_person,2.140299
1,60,land_reassignment,1.494141
1,75,random_routes,1.200098
1,75,related_routes,2.083891
1,75,low_utilization,0.8125
1,75,worst_time_per_person,1.730225
1,75,land_reassignment,1.870605
1,90,random_routes,1.150073
1,90,related_routes,1.687919
1,90,low_utilization,0.859375
1,90,worst_time_per_person,1.547668
1,90,land_reassignment,1.760097
1,105,random_routes,1.112555
1,105,related_routes,1.265939
1,105,low_utilization,0.894531
1,105,worst_time_per_person,1.410751
1,105,land_reassignment,1.720073
1,120,random_routes,1.234416
1,120,related_routes,1.136954
1,120,low_utilization,0.920898
1,120,worst_time_per_person,1.308064
1,120,land_reassignment,1.540055
2,15,random_routes,1.0
2,15,related_routes,0.875
2,15,low_utilization,1.0
2,15,worst_time_per_person,1.0
2,15,land_reassignment,0.9
2,30,random_routes,1.7
2,30,related_routes,0.822917
2,30,low_utilization,1.0
2,30,worst_time_per_person,1.1875
2,30,land_reassignment,0.925
2,45,random_routes,1.825
2,45,related_routes,0.867188
2,45,low_utilization,1.75
2,45,worst_time_per_person,1.440625
2,45,land_reassignment,0.94375
2,60,random_routes,1.61875
2,60,related_routes,1.400391
2,60,low_utilization,1.9375
2,60,worst_time_per_person,1.480469
2,60,land_reassignment,0.707813
2,75,random_routes,1.464062
2,75,related_routes,1.675293
2,75,low_utilization,1.810268
2,75,worst_time_per_person,2.110352
2,75,land_reassignment,0.530859
2,90,random_routes,1.348047
2,90,related_routes,1.75647
2,90,low_utilization,1.795201
2,90,worst_time_per_person,2.020264
2,90,land_reassignment,0.731478
2,105,random_routes,1.261035
2,105,related_routes,2.067352
2,105,low_utilization,1.596401
2,105,worst_time_per_person,2.265198
2,105,land_reassignment,0.548608
2,120,random_routes,1.383276
2,120,related_routes,1.675514
2,120,low_utilization,1.447301
2,120,worst_time_per_person,2.098898
2,120,land_reassignment,0.411456
