iteration,ranker,candidate_rank,selected,left_index,right_index,base_airport,left_signature,right_signature,left_load,right_load,left_services,right_services,same_cluster_fraction,minimum_distance_km,airport_profile_gap_km,fuel_signature_gap,outcome,route_evaluations,technical_stop_searches,augmentation_cache_hits,lower_bound_pruned,augmentation_infeasible,saving_minutes,accepted
0,cluster_average_k4,17,True,49,74,A02,A02|F023|9|P0068+P0111+P0298+P0611+P0693+P1031+P1482+P2314+P2790,A02|F035|5|P0115+P3360+P3552+P3652+P3844,9,5,F023,F035,1.0,38.0,6.0,0.0,improving_not_selected,4,4,0,0,0,158,False
0,cluster_average_k4,18,True,97,109,A03,A03|F046|1|P2863,A03|F052|11|P0465+P1035+P2138+P2378+P3105+P3227+P3440+P3587+P3611+P3640+P3987,1,11,F046,F052,1.0,38.0,31.0,0.2222222222222222,improving_not_selected,6,6,0,0,0,145,False
0,cluster_average_k4,19,True,52,54,A02,A02|F024|12|P0213+P0307+P0433+P0499+P0729+P1905+P2195+P2535+P2572+P3190+P3603+P3872,A02|F025|7|P1886+P2791+P3216+P3506+P3560+P3584+P3815,12,7,F024,F025,1.0,39.0,15.666666666666666,0.1527777777777778,improving_not_selected,2,2,0,0,0,98,False
0,cluster_average_k4,20,True,88,104,A03,A03|F042|10|P0294+P0455+P0617+P0638+P1203+P1767+P2093+P2521+P2730+P2984,A03|F050|8|P0166+P0540+P0643+P0865+P2330+P2972+P3627+P3730,10,8,F042,F050,1.0,40.0,36.333333333333336,0.06944444444444445,accepted,2,2,0,0,0,244,True
0,cluster_average_k4,21,True,0,31,A01,A01|F001|4|P0036+P0918+P2537+P2942,A01|F016|9|P0275+P0423+P0482+P0613+P0647+P0950+P1114+P2472+P2898,4,9,F001,F016,1.0,41.0,35.0,0.2361111111111111,improving_not_selected,4,4,0,0,0,99,False
0,cluster_average_k4,22,True,11,15,A01,A01|F006|16|P0042+P0044+P0089+P0113+P0151+P0158+P0186+P0240+P0244+P0267+P0393+P0718+P0863+P1394+P1611+P3271,A01|F008|3|P1310+P1334+P3410,16,3,F006,F008,1.0,41.0,16.333333333333332,0.1111111111111111,improving_not_selected,2,2,0,0,0,112,False
0,cluster_average_k4,23,True,45,74,A02,A02|F021|13|P0008+P0124+P1195+P3158+P3305+P3313+P3406+P3544+P3734+P3749+P3809+P3877+P3895,A02|F035|5|P0115+P3360+P3552+P3652+P3844,13,5,F021,F035,1.0,41.0,40.333333333333336,0.2222222222222222,improving_not_selected,2,2,0,0,0,117,False
0,cluster_average_k4,24,True,77,97,A03,A03|F036|8|P0401+P0709+P1087+P1650+P1817+P3698+P3755+P3770,A03|F046|1|P2863,8,1,F036,F046,1.0,41.0,11.0,0.027777777777777776,improving_not_selected,6,6,0,0,0,129,False
0,cluster_average_k4,25,True,0,23,A01,A01|F001|4|P0036+P0918+P2537+P2942,A01|F012|15|P0004+P0049+P0093+P0228+P0239+P0247+P0266+P0510+P0525+P0561+P0584+P0619+P2131+P2753+P3211,4,15,F001,F012,1.0,42.0,5.333333333333333,0.027777777777777776,improving_not_selected,2,2,0,0,0,122,False
0,cluster_average_k4,26,True,65,74,A02,A02|F031|13|P0188+P0221+P0470+P0845+P1206+P1443+P1467+P1512+P1534+P1772+P1859+P2248+P3041,A02|F035|5|P0115+P3360+P3552+P3652+P3844,13,5,F031,F035,1.0,42.0,19.333333333333332,0.1388888888888889,improving_not_selected,2,2,0,0,0,126,False
0,cluster_average_k4,27,True,77,99,A03,A03|F036|8|P0401+P0709+P1087+P1650+P1817+P3698+P3755+P3770,A03|F047|5|P0040+P1063+P1231+P2315+P2850,8,5,F036,F047,1.0,42.0,24.333333333333332,0.16666666666666666,improving_not_selected,4,4,0,0,0,145,False
0,cluster_average_k4,28,True,82,97,A03,A03|F039|15|P0097+P0714+P0855+P1236+P1407+P1474+P1488+P1559+P1725+P1936+P1969+P2159+P2166+P3048+P3576,A03|F046|1|P2863,15,1,F039,F046,1.0,45.0,5.666666666666667,0.013888888888888888,improving_not_selected,4,4,0,0,0,116,False
0,cluster_average_k4,29,True,29,31,A01,A01|F015|7|P0269+P0476+P0484+P0570+P0637+P1402+P3945,A01|F016|9|P0275+P0423+P0482+P0613+P0647+P0950+P1114+P2472+P2898,7,9,F015,F016,1.0,48.0,16.666666666666668,0.1388888888888889,improving_not_selected,4,4,0,0,0,71,False
0,cluster_average_k4,30,True,62,74,A02,A02|F029|12|P0226+P1827+P1956+P2101+P2590+P2617+P2683+P2796+P2810+P3402+P3626+P3741,A02|F035|5|P0115+P3360+P3552+P3652+P3844,12,5,F029,F035,1.0,49.0,44.333333333333336,0.2361111111111111,improving_not_selected,2,2,0,0,0,104,False
0,cluster_average_k4,31,True,0,9,A01,A01|F001|4|P0036+P0918+P2537+P2942,A01|F005|11|P0177+P0622+P0879+P0978+P1006+P1078+P1307+P1710+P1910+P3403+P3882,4,11,F001,F005,1.0,50.0,22.333333333333332,0.09722222222222222,improving_not_selected,4,4,0,0,0,98,False
0,cluster_average_k4,32,True,97,100,A03,A03|F046|1|P2863,A03|F048|16|P0255+P1217+P1261+P1569+P1604+P1761+P1870+P2022+P2105+P2156+P2369+P2395+P2743+P2914+P3267+P3471,1,16,F046,F048,1.0,50.0,27.666666666666668,0.2222222222222222,improving_not_selected,2,2,0,0,0,115,False
0,cluster_average_k4,33,True,97,101,A03,A03|F046|1|P2863,A03|F048|16|P2396+P2419+P2481+P2604+P2619+P2692+P2712+P2776+P2858+P3027+P3589+P3599+P3699+P3885+P3903+P3966,1,16,F046,F048,1.0,50.0,27.666666666666668,0.2222222222222222,improving_not_selected,2,0,2,0,0,115,False
0,cluster_average_k4,34,True,7,15,A01,A01|F004|11|P0146+P0632+P0908+P1052+P1216+P1264+P1553+P2173+P2793+P3113+P3938,A01|F008|3|P1310+P1334+P3410,11,3,F004,F008,1.0,52.0,21.666666666666668,0.1527777777777778,improving_not_selected,4,4,0,0,0,98,False
0,cluster_average_k4,35,True,8,15,A01,A01|F004|16|P2183+P2362+P2487+P2551+P2669+P2716+P3039+P3053+P3119+P3159+P3243+P3375+P3585+P3598+P3761+P3906,A01|F008|3|P1310+P1334+P3410,16,3,F004,F008,1.0,52.0,21.666666666666668,0.1527777777777778,improving_not_selected,2,0,2,0,0,98,False
0,cluster_average_k4,36,True,29,33,A01,A01|F015|7|P0269+P0476+P0484+P0570+P0637+P1402+P3945,A01|F017|11|P0137+P0418+P0598+P1079+P1380+P1493+P1521+P1745+P2207+P2309+P2999,7,11,F015,F017,1.0,53.0,43.0,0.1388888888888889,improving_not_selected,2,2,0,0,0,63,False
0,cluster_average_k4,37,True,13,15,A01,A01|F007|9|P0057+P0480+P0652+P0685+P0786+P0812+P1703+P1838+P2738,A01|F008|3|P1310+P1334+P3410,9,3,F007,F008,1.0,54.0,14.333333333333334,0.013888888888888888,improving_not_selected,6,6,0,0,0,116,False
0,cluster_average_k4,38,True,3,19,A01,A01|F002|7|P1754+P1771+P2409+P2625+P2819+P3592+P3961,A01|F010|12|P0028+P0077+P0375+P0395+P0583+P0631+P0642+P0835+P1907+P2840+P3644+P3775,7,12,F002,F010,1.0,56.0,3.3333333333333335,0.027777777777777776,improving_not_selected,2,2,0,0,0,93,False
0,cluster_average_k4,39,True,52,74,A02,A02|F024|12|P0213+P0307+P0433+P0499+P0729+P1905+P2195+P2535+P2572+P3190+P3603+P3872,A02|F035|5|P0115+P3360+P3552+P3652+P3844,12,5,F024,F035,1.0,57.0,41.333333333333336,0.2777777777777778,improving_not_selected,2,2,0,0,0,103,False
0,cluster_average_k4,40,True,54,74,A02,A02|F025|7|P1886+P2791+P3216+P3506+P3560+P3584+P3815,A02|F035|5|P0115+P3360+P3552+P3652+P3844,7,5,F025,F035,1.0,57.0,57.0,0.2361111111111111,improving_not_selected,6,6,0,0,0,130,False
0,cluster_average_k4,41,True,80,97,A03,A03|F038|15|P0238+P0338+P0385+P0399+P0573+P0655+P0721+P0820+P0993+P1913+P2047+P2154+P2544+P2912+P3674,A03|F046|1|P2863,15,1,F038,F046,1.0,67.0,39.0,0.20833333333333334,improving_not_selected,4,4,0,0,0,137,False
0,cluster_average_k4,42,True,81,97,A03,A03|F038|16|P1135+P1278+P1562+P1612+P1766+P1858+P2611+P2643+P2674+P2901+P3004+P3126+P3225+P3610+P3612+P3955,A03|F046|1|P2863,16,1,F038,F046,1.0,67.0,39.0,0.20833333333333334,improving_not_selected,2,0,2,0,0,112,False
0,cluster_average_k4,43,True,84,104,A03,A03|F040|11|P0140+P0367+P0868+P0880+P1004+P1567+P1598+P1705+P1715+P1750+P2374,A03|F050|8|P0166+P0540+P0643+P0865+P2330+P2972+P3627+P3730,11,8,F040,F050,1.0,67.0,63.666666666666664,0.09722222222222222,improving_not_selected,2,2,0,0,0,207,False
0,cluster_average_k4,44,True,0,33,A01,A01|F001|4|P0036+P0918+P2537+P2942,A01|F017|11|P0137+P0418+P0598+P1079+P1380+P1493+P1521+P1745+P2207+P2309+P2999,4,11,F001,F017,1.0,70.0,61.333333333333336,0.2361111111111111,improving_not_selected,4,4,0,0,0,82,False
0,cluster_average_k4,45,True,49,54,A02,A02|F023|9|P0068+P0111+P0298+P0611+P0693+P1031+P1482+P2314+P2790,A02|F025|7|P1886+P2791+P3216+P3506+P3560+P3584+P3815,9,7,F023,F025,1.0,70.0,63.0,0.2361111111111111,improving_not_selected,4,4,0,0,0,127,False
0,cluster_average_k4,46,True,0,29,A01,A01|F001|4|P0036+P0918+P2537+P2942,A01|F015|7|P0269+P0476+P0484+P0570+P0637+P1402+P3945,4,7,F001,F015,1.0,73.0,18.333333333333332,0.09722222222222222,improving_not_selected,6,6,0,0,0,91,False
0,cluster_average_k4,47,True,3,15,A01,A01|F002|7|P1754+P1771+P2409+P2625+P2819+P3592+P3961,A01|F008|3|P1310+P1334+P3410,7,3,F002,F008,1.0,75.0,2.3333333333333335,0.013888888888888888,improving_not_selected,6,6,0,0,0,113,False
0,cluster_average_k4,48,True,77,109,A03,A03|F036|8|P0401+P0709+P1087+P1650+P1817+P3698+P3755+P3770,A03|F052|11|P0465+P1035+P2138+P2378+P3105+P3227+P3440+P3587+P3611+P3640+P3987,8,11,F036,F052,1.0,75.0,42.0,0.25,improving_not_selected,2,2,0,0,0,117,False
0,cluster_average_k4,49,True,86,109,A03,A03|F041|5|P0227+P0326+P0368+P1137+P2262,A03|F052|11|P0465+P1035+P2138+P2378+P3105+P3227+P3440+P3587+P3611+P3640+P3987,5,11,F041,F052,1.0,80.0,29.0,0.027777777777777776,improving_not_selected,4,4,0,0,0,164,False
0,cluster_average_k4,50,True,15,25,A01,A01|F008|3|P1310+P1334+P3410,A01|F013|15|P0229+P0417+P0419+P0453+P0648+P0672+P0785+P0870+P0912+P1139+P1153+P2464+P3092+P3150+P3176,3,15,F008,F013,1.0,81.0,60.333333333333336,0.09722222222222222,improving_not_selected,2,2,0,0,0,109,False
0,cluster_average_k4,51,False,15,26,A01,A01|F008|3|P1310+P1334+P3410,A01|F013|16|P1296+P1897+P1992+P2044+P2061+P2343+P2463+P2807+P3202+P3277+P3466+P3572+P3676+P3797+P3849+P3925,3,16,F008,F013,1.0,81.0,60.333333333333336,0.09722222222222222,budget_not_selected,0,0,0,0,0,,False
0,cluster_average_k4,52,False,97,106,A03,A03|F046|1|P2863,A03|F051|16|P0102+P0184+P0349+P0446+P0462+P0502+P0530+P0541+P0797+P0856+P0904+P0997+P1081+P1684+P1723+P3708,1,16,F046,F051,1.0,82.0,55.666666666666664,0.2222222222222222,budget_not_selected,0,0,0,0,0,,False
0,cluster_average_k4,53,False,97,107,A03,A03|F046|1|P2863,A03|F051|17|P1926+P1962+P2059+P2217+P2218+P2228+P2558+P2562+P2726+P2847+P2930+P2945+P3082+P3167+P3184+P3253+P3947,1,17,F046,F051,1.0,82.0,55.666666666666664,0.2222222222222222,budget_not_selected,0,0,0,0,0,,False
0,cluster_average_k4,54,False,0,27,A01,A01|F001|4|P0036+P0918+P2537+P2942,A01|F014|12|P0061+P0303+P0849+P1095+P1163+P1235+P1805+P1853+P1902+P2120+P2969+P3614,4,12,F001,F014,1.0,85.0,45.0,0.2361111111111111,budget_not_selected,0,0,0,0,0,,False
