stage,operator,weight,calls,accepted,improved,new_global_best,feasible_repairs,failed_repairs,total_gain_minutes,mean_gain_when_improving,runtime_seconds,mean_destroyed_routes
1,land_reassignment,1.130518,31,31,1,1,31,0,10,10.0,22.689,2.452
1,low_utilization,0.920898,12,12,0,0,12,0,0,0.0,26.032,2.667
1,random_routes,1.0,18,18,0,0,18,0,0,0.0,47.111,2.333
1,related_routes,1.0,12,12,0,0,12,0,0,0.0,31.808,2.667
1,worst_time_per_person,1.6875,18,18,1,1,18,0,7,7.0,22.723,2.5
2,land_reassignment,1.0,8,8,0,0,8,0,0,0.0,3.825,3.375
2,low_utilization,1.0,9,9,0,0,9,0,0,0.0,37.132,3.444
2,random_routes,1.0,10,10,0,0,10,0,0,0.0,51.604,3.6
2,related_routes,3.463542,20,20,5,5,20,0,78,15.6,46.849,3.25
2,worst_time_per_person,0.75,9,9,0,0,9,0,0,0.0,16.496,3.444
