stage,global_iteration,iteration,elapsed_seconds,operator,destroyed_routes,destroyed_passengers,removed_aircraft_time_minutes,repair_variants,repaired_routes,accepted,improved_current,new_global_best,current_aircraft_time_minutes,best_aircraft_time_minutes,current_passenger_time_minutes,best_passenger_time_minutes,current_flights,best_flights,temperature
1,1,1,13.225663,land_reassignment,5,89,620,225,5,1,1,1,15361,15361,120829,120829,95,95,0.002
1,2,2,34.641195,random_routes,6,104,905,409,6,1,0,0,15361,15361,120829,120829,95,95,0.00197
1,3,3,78.764551,random_routes,6,101,928,703,6,0,0,0,15361,15361,120829,120829,95,95,0.00194045
1,4,4,99.162412,low_utilization,5,72,886,381,5,1,0,0,15361,15361,120829,120829,95,95,0.0019113432500000001
1,5,5,120.684697,worst_time_per_person,6,90,1316,391,6,0,0,0,15361,15361,120829,120829,95,95,0.00188267310125
2,6,1,140.406036,worst_time_per_person,6,91,1316,488,5,1,1,1,15264,15264,122841,122841,94,94,0.002
2,7,2,152.789231,land_reassignment,8,140,1974,201,8,1,0,0,15320,15264,122700,122841,94,94,0.00197
2,8,3,177.94066,worst_time_per_person,6,96,1333,651,6,0,0,0,15320,15264,122700,122841,94,94,0.00194045
2,9,4,208.964493,low_utilization,8,123,1393,1204,8,1,1,0,15283,15264,123453,122841,94,94,0.0019113432500000001
2,10,5,220.628471,random_routes,8,137,1158,685,8,1,0,0,15283,15264,123453,122841,94,94,0.00188267310125
