stage,iteration,operator,weight
1,15,random_routes,0.875
1,15,related_routes,0.875
1,15,low_utilization,1.916667
1,15,worst_time_per_person,1.45
1,15,land_reassignment,1.916667
1,30,random_routes,3.65625
1,30,related_routes,0.90625
1,30,low_utilization,2.479167
1,30,worst_time_per_person,1.0875
1,30,land_reassignment,1.616071
1,45,random_routes,3.325521
1,45,related_routes,1.492188
1,45,low_utilization,2.359375
1,45,worst_time_per_person,3.815625
1,45,land_reassignment,2.837054
1,60,random_routes,2.744141
1,60,related_routes,1.119141
1,60,low_utilization,2.936198
1,60,worst_time_per_person,3.79029
1,60,land_reassignment,3.294457
2,15,random_routes,1.375
2,15,related_routes,0.875
2,15,low_utilization,1.25
2,15,worst_time_per_person,2.75
2,15,land_reassignment,1.25
2,30,random_routes,1.28125
2,30,related_routes,1.15625
2,30,low_utilization,1.1875
2,30,worst_time_per_person,2.098214
2,30,land_reassignment,1.0625
2,45,random_routes,1.377604
2,45,related_routes,0.867188
2,45,low_utilization,1.015625
2,45,worst_time_per_person,1.573661
2,45,land_reassignment,0.996875
2,60,random_routes,1.19987
2,60,related_routes,0.650391
2,60,low_utilization,3.761719
2,60,worst_time_per_person,2.358817
2,60,land_reassignment,1.247656
