stage,global_iteration,iteration,elapsed_seconds,operator,destroyed_routes,destroyed_passengers,removed_aircraft_time_minutes,repair_variants,repaired_routes,accepted,improved_current,new_global_best,current_aircraft_time_minutes,best_aircraft_time_minutes,current_passenger_time_minutes,best_passenger_time_minutes,current_flights,best_flights,temperature
1,52,52,561.504568,worst_time_per_person,5,84,1202,270,5,0,0,0,15215,15215,120848,120848,93,93,0.0009252897495599119
1,53,53,563.505537,land_reassignment,6,113,956,225,6,1,0,0,15215,15215,120848,120848,93,93,0.0009114104033165132
1,54,54,572.308349,worst_time_per_person,5,81,1106,298,5,1,0,0,15215,15215,120848,120848,93,93,0.0008977392472667655
1,55,55,585.456833,worst_time_per_person,5,79,1076,669,5,0,0,0,15215,15215,120848,120848,93,93,0.000884273158557764
1,56,56,585.801678,land_reassignment,5,94,789,225,5,1,0,0,15215,15215,120848,120848,93,93,0.0008710090611793975
1,57,57,595.223852,worst_time_per_person,5,79,1047,381,5,1,0,0,15215,15215,120848,120848,93,93,0.0008579439252617066
1,58,58,602.660198,related_routes,6,107,882,225,6,0,0,0,15215,15215,120848,120848,93,93,0.0008450747663827809
1,59,59,607.136731,worst_time_per_person,6,94,1303,294,5,1,1,1,15141,15141,121839,121839,92,92,0.0008323986448870392
1,60,60,610.179488,worst_time_per_person,5,84,1214,284,5,1,1,1,15123,15123,122247,122247,92,92,0.0008199126652137336
2,61,1,620.840102,worst_time_per_person,6,97,1277,673,6,1,1,1,15105,15105,121927,121927,92,92,0.002
2,62,2,625.153482,worst_time_per_person,6,96,1242,496,6,1,1,1,15105,15105,121773,121773,92,92,0.00197
2,63,3,665.094882,low_utilization,8,134,1452,1624,8,1,0,0,15116,15105,122457,121773,92,92,0.00194045
2,64,4,676.04254,random_routes,7,120,1157,556,7,1,1,0,15116,15105,121943,121773,92,92,0.0019113432500000001
2,65,5,702.911179,low_utilization,8,135,1336,1067,8,1,0,0,15116,15105,121943,121773,92,92,0.00188267310125
2,66,6,735.203297,land_reassignment,7,129,1057,436,7,1,0,0,15116,15105,122321,121773,92,92,0.00185443300473125
2,67,7,741.966406,related_routes,7,114,1197,324,9,0,0,0,15116,15105,122321,121773,92,92,0.0018266165096602813
2,68,8,804.484524,random_routes,8,143,1447,985,8,1,0,0,15116,15105,122321,121773,92,92,0.0017992172620153772
