stage,operator,weight,calls,accepted,improved,new_global_best,feasible_repairs,failed_repairs,total_gain_minutes,mean_gain_when_improving,runtime_seconds,mean_destroyed_routes
1,land_reassignment,3.75,2,2,1,1,2,0,10,10.0,14.809,5.5
1,low_utilization,1.625,8,5,2,2,8,0,3,1.5,59.394,5.5
1,random_routes,1.0,6,6,1,1,6,0,1,1.0,40.002,5.5
1,related_routes,3.75,2,2,2,2,2,0,151,75.5,11.828,5.5
1,worst_time_per_person,2.05,5,4,2,2,5,0,0,0.0,29.468,5.8
2,land_reassignment,3.6875,5,3,3,3,5,0,36,12.0,32.837,7.2
2,low_utilization,3.4375,10,9,5,5,10,0,56,11.2,44.962,7.2
2,random_routes,2.375,3,3,1,1,3,0,9,9.0,13.349,7.333
2,related_routes,3.145833,7,4,3,3,7,0,87,29.0,42.301,7.286
2,worst_time_per_person,1.916667,8,8,1,1,8,0,0,0.0,21.099,6.875
