stage,operator,weight,calls,accepted,improved,new_global_best,feasible_repairs,failed_repairs,total_gain_minutes,mean_gain_when_improving,runtime_seconds,mean_destroyed_routes
1,land_reassignment,1.580078,14,14,1,1,14,0,10,10.0,48.394,3.571
1,low_utilization,1.240039,15,14,1,1,15,0,16,16.0,73.495,3.533
1,random_routes,1.375,8,8,1,0,8,0,0,0.0,58.537,3.5
1,related_routes,1.0,10,10,0,0,10,0,0,0.0,23.577,3.4
1,worst_time_per_person,1.480469,13,12,1,1,13,0,7,7.0,60.344,3.615
2,land_reassignment,0.75,10,10,0,0,10,0,0,0.0,16.13,4.6
2,low_utilization,1.386719,14,14,1,1,14,0,0,0.0,40.437,4.357
2,random_routes,1.916667,9,9,1,1,9,0,0,0.0,30.72,4.444
2,related_routes,3.564825,24,24,8,8,24,0,125,15.625,83.554,4.667
2,worst_time_per_person,0.421875,3,3,0,0,3,0,0,0.0,13.074,4.0
