stage,operator,weight,calls,accepted,improved,new_global_best,feasible_repairs,failed_repairs,total_gain_minutes,mean_gain_when_improving,runtime_seconds,mean_destroyed_routes
1,land_reassignment,0.859375,8,8,0,0,8,0,0,0.0,13.612,4.5
1,low_utilization,0.542411,13,12,0,0,13,0,0,0.0,67.186,4.385
1,random_routes,1.0,19,19,0,0,19,0,0,0.0,129.92,4.526
1,related_routes,2.271875,21,21,3,3,21,0,1,0.333,49.399,4.524
1,worst_time_per_person,1.0,16,16,0,0,16,0,0,0.0,42.826,4.375
2,land_reassignment,0.8125,18,18,0,0,18,0,0,0.0,6.574,5.667
2,low_utilization,1.600795,24,24,2,2,24,0,0,0.0,76.314,5.583
2,random_routes,1.220154,16,16,1,1,16,0,0,0.0,97.264,5.5
2,related_routes,2.260059,34,34,4,4,34,0,5,1.25,96.152,5.588
2,worst_time_per_person,0.985168,14,13,0,0,14,0,0,0.0,25.322,5.5
