stage,iteration,operator,weight
1,15,random_routes,1.0
1,15,related_routes,1.55
1,15,low_utilization,1.0
1,15,worst_time_per_person,1.0
1,15,land_reassignment,3.75
1,30,random_routes,1.0
1,30,related_routes,1.4125
1,30,low_utilization,1.0
1,30,worst_time_per_person,0.75
1,30,land_reassignment,3.0625
1,45,random_routes,1.0
1,45,related_routes,1.996875
1,45,low_utilization,1.0
1,45,worst_time_per_person,0.8125
1,45,land_reassignment,2.546875
1,60,random_routes,1.0
1,60,related_routes,2.533371
1,60,low_utilization,0.75
1,60,worst_time_per_person,0.859375
1,60,land_reassignment,2.160156
1,75,random_routes,1.0
1,75,related_routes,2.150028
1,75,low_utilization,0.8125
1,75,worst_time_per_person,2.269531
1,75,land_reassignment,1.870117
1,90,random_routes,1.0
1,90,related_routes,1.862521
1,90,low_utilization,2.234375
1,90,worst_time_per_person,1.952148
1,90,land_reassignment,1.652588
1,105,random_routes,0.75
1,105,related_routes,2.563557
1,105,low_utilization,1.925781
1,105,worst_time_per_person,1.714111
1,105,land_reassignment,1.489441
1,120,random_routes,0.5625
1,120,related_routes,2.172668
1,120,low_utilization,1.694336
1,120,worst_time_per_person,1.535583
1,120,land_reassignment,1.367081
1,135,random_routes,0.671875
1,135,related_routes,1.879501
1,135,low_utilization,1.520752
1,135,worst_time_per_person,1.401688
1,135,land_reassignment,1.275311
1,150,random_routes,0.753906
1,150,related_routes,1.659626
1,150,low_utilization,1.390564
1,150,worst_time_per_person,1.301266
1,150,land_reassignment,1.206483
2,15,random_routes,1.0
2,15,related_routes,2.1
2,15,low_utilization,1.0
2,15,worst_time_per_person,1.0
2,15,land_reassignment,1.0
2,30,random_routes,1.0
2,30,related_routes,2.5125
2,30,low_utilization,0.75
2,30,worst_time_per_person,1.0
2,30,land_reassignment,1.0
2,45,random_routes,1.0
2,45,related_routes,2.384375
2,45,low_utilization,0.5625
2,45,worst_time_per_person,1.0
2,45,land_reassignment,1.0
2,60,random_routes,1.0
2,60,related_routes,2.132031
2,60,low_utilization,0.671875
2,60,worst_time_per_person,1.0
2,60,land_reassignment,0.75
