stage,operator,weight,calls,accepted,improved,new_global_best,feasible_repairs,failed_repairs,total_gain_minutes,mean_gain_when_improving,runtime_seconds,mean_destroyed_routes
1,land_reassignment,1.206483,37,37,1,1,37,0,10,10.0,19.16,2.432
1,low_utilization,1.390564,22,22,1,1,22,0,0,0.0,30.47,2.5
1,random_routes,0.753906,21,21,0,0,21,0,0,0.0,39.651,2.476
1,related_routes,1.659626,44,44,5,5,44,0,24,4.8,47.533,2.523
1,worst_time_per_person,1.301266,27,27,2,2,27,0,7,3.5,14.109,2.444
2,land_reassignment,0.75,6,6,0,0,6,0,0,0.0,2.99,3.333
2,low_utilization,0.671875,7,7,0,0,7,0,0,0.0,33.784,3.571
2,random_routes,1.0,8,8,0,0,8,0,0,0.0,30.949,3.5
2,related_routes,2.132031,34,34,7,5,34,0,22,3.143,45.693,3.471
2,worst_time_per_person,1.0,9,9,0,0,9,0,0,0.0,36.743,3.556
