stage,operator,weight,calls,accepted,improved,new_global_best,feasible_repairs,failed_repairs,total_gain_minutes,mean_gain_when_improving,runtime_seconds,mean_destroyed_routes
1,land_reassignment,3.75,2,2,1,1,2,0,10,10.0,21.599,6.0
1,low_utilization,1.0,2,2,0,0,2,0,0,0.0,23.193,5.0
1,random_routes,1.875,4,4,2,1,4,0,63,31.5,50.099,5.25
1,related_routes,1.1875,4,4,1,0,4,0,2,2.0,21.815,6.0
1,worst_time_per_person,1.3125,5,4,3,1,5,0,17,5.667,38.702,5.2
2,land_reassignment,1.0,4,4,1,1,4,0,3,3.0,28.941,7.25
2,low_utilization,1.0,3,3,1,1,3,0,48,48.0,43.589,6.333
2,random_routes,1.0,2,2,0,0,2,0,0,0.0,25.156,6.5
2,related_routes,1.0,3,2,1,1,3,0,82,82.0,32.963,7.667
2,worst_time_per_person,1.0,2,2,2,2,2,0,52,26.0,27.465,7.5
