stage,operator,weight,calls,accepted,improved,new_global_best
1,land_reassignment,1.065332,46,46,1,1
1,low_utilization,1.123577,36,36,1,1
1,random_routes,0.922134,27,27,0,0
1,related_routes,1.595428,58,58,6,6
1,worst_time_per_person,1.553656,48,48,3,3
2,land_reassignment,1.0,18,18,0,0
2,low_utilization,1.0,20,20,0,0
2,random_routes,1.0,22,22,0,0
2,related_routes,1.148315,21,20,1,1
2,worst_time_per_person,1.0,11,11,0,0
