stage,iteration,operator,weight
1,15,random_routes,1.916667
1,15,related_routes,1.0
1,15,low_utilization,1.0
1,15,worst_time_per_person,1.0
1,15,land_reassignment,1.55
1,30,random_routes,1.6875
1,30,related_routes,0.75
1,30,low_utilization,1.0
1,30,worst_time_per_person,1.0
1,30,land_reassignment,1.4125
1,45,random_routes,1.515625
1,45,related_routes,0.8125
1,45,low_utilization,1.0
1,45,worst_time_per_person,1.0
1,45,land_reassignment,1.309375
1,60,random_routes,2.074219
1,60,related_routes,0.609375
1,60,low_utilization,1.0
1,60,worst_time_per_person,2.833333
1,60,land_reassignment,1.232031
2,15,random_routes,1.0
2,15,related_routes,1.0
2,15,low_utilization,1.6875
2,15,worst_time_per_person,1.0
2,15,land_reassignment,1.0
2,30,random_routes,1.0
2,30,related_routes,1.458333
2,30,low_utilization,2.203125
2,30,worst_time_per_person,0.75
2,30,land_reassignment,1.0
2,45,random_routes,1.0
2,45,related_routes,1.802083
2,45,low_utilization,1.902344
2,45,worst_time_per_person,0.8125
2,45,land_reassignment,1.0
2,60,random_routes,1.0
2,60,related_routes,1.601562
2,60,low_utilization,1.676758
2,60,worst_time_per_person,0.859375
2,60,land_reassignment,1.375
