operator,uses,repair_success,accepted,primary_improvement,new_best,primary_gain_minutes,runtime_seconds,mean_local_master_size,max_local_master_size
high_cost_route,4,4,4,1,3,16,42.859212,972.75,1114
low_utilization_route,1,1,1,1,1,44,9.93329,1080,1080
shared_facility_flow,0,0,0,0,0,0,0.0,0.0,0
land_heavy_route,2,2,2,0,1,0,25.887746,927.5,955
