stage,operator,weight,calls,accepted,improved,new_global_best,feasible_repairs,failed_repairs,total_gain_minutes,mean_gain_when_improving,runtime_seconds,mean_destroyed_routes
1,land_reassignment,1.0,2,2,1,1,2,0,10,10.0,19.498,4.5
1,low_utilization,1.0,2,2,1,1,2,0,9,9.0,33.951,4.5
1,random_routes,1.0,2,2,0,0,2,0,0,0.0,21.168,4.5
1,related_routes,1.0,3,3,0,0,3,0,0,0.0,26.015,4.667
1,worst_time_per_person,1.0,4,3,1,0,4,0,9,9.0,50.17,4.25
2,land_reassignment,1.0,4,4,0,0,4,0,0,0.0,27.09,5.5
2,low_utilization,1.0,3,3,0,0,3,0,0,0.0,40.995,5.0
2,random_routes,1.0,3,3,0,0,3,0,0,0.0,48.057,5.333
2,related_routes,1.0,1,1,0,0,1,0,0,0.0,5.036,6.0
2,worst_time_per_person,0.9375,4,3,0,0,4,0,0,0.0,42.133,5.5
