operator,uses,repair_success,accepted,primary_improvement,new_best,primary_gain_minutes,runtime_seconds,mean_local_master_size,max_local_master_size
high_cost_route,44,44,18,0,4,0,158.560071,968.5,1387
low_utilization_route,43,43,19,1,6,5,172.653159,1014.256,1352
shared_facility_flow,54,54,21,1,6,12,232.684171,1010.278,1430
land_heavy_route,40,40,16,1,5,14,118.41153,935.575,1307
