leg_order,leg,departure_load,capacity,arrival_fuel_kg,departure_fuel_kg,reserve_kg,refuel_at_destination
0,A03→F043,19,19,721.3000000000001,721.3000000000001,200,0
1,F043→F051,19,19,619.8000000000001,619.8000000000001,200,0
2,F051→F038,19,19,570.5000000000001,1600,200,1
3,F038→A03,19,19,837.3000000000001,837.3000000000001,200,0
