stage,operator,weight,calls,accepted,improved,new_global_best
1,land_reassignment,1.077431,39,39,1,1
1,low_utilization,0.907303,26,26,0,0
1,random_routes,1.0,35,35,0,0
1,related_routes,1.44703,47,47,3,3
1,worst_time_per_person,1.986755,31,31,2,2
2,land_reassignment,1.0,26,26,0,0
2,low_utilization,1.0,20,20,0,0
2,random_routes,1.282898,13,13,1,1
2,related_routes,1.130518,26,26,1,1
2,worst_time_per_person,2.03125,25,25,1,1
