stage,operator,weight,calls,accepted,improved,new_global_best,feasible_repairs,failed_repairs,total_gain_minutes,mean_gain_when_improving,runtime_seconds,mean_destroyed_routes
1,land_reassignment,1.580078,19,19,1,1,19,0,10,10.0,21.543,3.316
1,low_utilization,0.964844,14,13,0,0,14,0,0,0.0,37.876,3.357
1,random_routes,0.894531,5,5,0,0,5,0,0,0.0,24.529,3.6
1,related_routes,1.515625,13,13,1,1,13,0,0,0.0,28.625,3.538
1,worst_time_per_person,1.290039,9,9,1,1,9,0,5,5.0,22.923,3.556
2,land_reassignment,1.0,6,6,0,0,6,0,0,0.0,0.847,3.167
2,low_utilization,1.580078,14,14,1,1,14,0,37,37.0,20.076,3.5
2,random_routes,1.0,18,18,0,0,18,0,0,0.0,56.332,3.611
2,related_routes,0.75,6,6,0,0,6,0,0,0.0,3.701,3.167
2,worst_time_per_person,1.290039,16,16,1,1,16,0,7,7.0,27.187,3.438
