feature,importance,kind
"categorical__feature_current_base_airports_[""A03""]",0.0,classifier_gain
numeric__feature_current_duration_minutes,72.0,classifier_split
numeric__feature_current_mean_utilization,65.0,classifier_split
numeric__feature_current_land_fraction,61.0,classifier_split
numeric__feature_current_route_passengers,60.0,classifier_split
numeric__feature_directed_shuttle_flow,60.0,classifier_split
numeric__search_iteration,52.0,classifier_split
numeric__seen_in_current_solution,39.0,classifier_split
numeric__feature_min_airport_distance_km,36.0,classifier_split
numeric__search_best_objective,34.0,classifier_split
numeric__feature_route_distance_km,33.0,classifier_split
numeric__feature_technical_stop_complexity_proxy,31.0,classifier_split
numeric__feature_min_pairwise_distance_km,26.0,classifier_split
numeric__feature_fixed_airport_affinity,19.0,classifier_split
numeric__structural_novelty,17.0,classifier_split
numeric__search_stagnation_length,17.0,classifier_split
numeric__seen_in_elite_pool,15.0,classifier_split
"categorical__feature_current_base_airports_[""A02""]",15.0,classifier_split
numeric__is_incumbent_sequence,11.0,classifier_split
numeric__feature_reverse_shuttle_flow,10.0,classifier_split
numeric__feature_detour_ratio,10.0,classifier_split
numeric__search_current_objective,9.0,classifier_split
numeric__feature_score,9.0,classifier_split
numeric__feature_local_supported_demand,8.0,classifier_split
numeric__feature_inbound_flow,8.0,classifier_split
categorical__destroy_operator_low_utilization_route,8.0,classifier_split
numeric__search_sa_temperature,6.0,classifier_split
numeric__feature_max_pairwise_distance_km,6.0,classifier_split
numeric__feature_capacity_fit,6.0,classifier_split
numeric__rank_score_context,6.0,classifier_split
numeric__feature_max_airport_distance_km,5.0,classifier_split
numeric__feature_current_mean_residual_slack,4.0,classifier_split
numeric__feature_flow_complementarity,4.0,classifier_split
numeric__rank_score_geometry,4.0,classifier_split
categorical__context_rank_bin_low,4.0,classifier_split
categorical__destroy_operator_land_heavy_route,2.0,classifier_split
numeric__sequence_novelty,2.0,classifier_split
numeric__feature_land_flexible_flow,2.0,classifier_split
numeric__feature_seat_reuse_proxy,2.0,classifier_split
categorical__search_destroy_operator_low_utilization_route,1.0,classifier_split
categorical__portfolio_source_exploration,1.0,classifier_split
categorical__destroy_operator_high_cost_route,1.0,classifier_split
categorical__destroy_operator_shared_facility_flow,1.0,classifier_split
numeric__feature_service_node_count,1.0,classifier_split
numeric__feature_ejection_coverage,1.0,classifier_split
numeric__feature_refuel_facilities,0.0,classifier_split
numeric__feature_outbound_flow,0.0,classifier_split
numeric__feature_incumbent_sequence,0.0,classifier_split
numeric__feature_current_route_count,0.0,classifier_split
numeric__feature_bidirectional_flow,0.0,classifier_split
