stage,operator,weight,calls,accepted,improved,new_global_best,feasible_repairs,failed_repairs,total_gain_minutes,mean_gain_when_improving,runtime_seconds,mean_destroyed_routes
1,land_reassignment,1.0,1,1,0,0,1,0,0,0.0,4.369,5.0
1,low_utilization,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0
1,random_routes,1.0,1,1,0,0,1,0,0,0.0,11.156,6.0
1,related_routes,1.0,5,4,1,1,5,0,10,10.0,42.691,5.6
1,worst_time_per_person,1.0,5,3,1,1,5,0,58,58.0,92.115,5.4
2,land_reassignment,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0
2,low_utilization,1.0,2,2,1,1,2,0,19,19.0,54.492,8.0
2,random_routes,1.0,1,1,0,0,1,0,0,0.0,7.715,6.0
2,related_routes,1.0,5,4,3,2,5,0,131,43.667,60.015,7.0
2,worst_time_per_person,1.0,3,2,1,1,3,0,66,66.0,30.058,6.667
