stage,iteration,operator,weight
1,15,random_routes,1.0
1,15,related_routes,1.0
1,15,low_utilization,1.0
1,15,worst_time_per_person,1.0
1,15,land_reassignment,2.375
1,30,random_routes,1.0
1,30,related_routes,1.916667
1,30,low_utilization,1.0
1,30,worst_time_per_person,1.0
1,30,land_reassignment,2.03125
1,45,random_routes,1.0
1,45,related_routes,2.375
1,45,low_utilization,1.0
1,45,worst_time_per_person,1.0
1,45,land_reassignment,1.773438
1,60,random_routes,1.0
1,60,related_routes,2.03125
1,60,low_utilization,0.75
1,60,worst_time_per_person,1.0
1,60,land_reassignment,1.580078
1,75,random_routes,1.0
1,75,related_routes,1.773438
1,75,low_utilization,0.8125
1,75,worst_time_per_person,0.75
1,75,land_reassignment,1.435059
1,90,random_routes,1.0
1,90,related_routes,1.580078
1,90,low_utilization,0.609375
1,90,worst_time_per_person,0.8125
1,90,land_reassignment,1.326294
1,105,random_routes,1.0
1,105,related_routes,1.435059
1,105,low_utilization,0.707031
1,105,worst_time_per_person,0.859375
1,105,land_reassignment,1.24472
1,120,random_routes,1.0
1,120,related_routes,1.326294
1,120,low_utilization,0.780273
1,120,worst_time_per_person,0.894531
1,120,land_reassignment,1.18354
2,15,random_routes,0.75
2,15,related_routes,0.875
2,15,low_utilization,1.0
2,15,worst_time_per_person,1.0
2,15,land_reassignment,1.0
2,30,random_routes,0.5625
2,30,related_routes,0.90625
2,30,low_utilization,1.0
2,30,worst_time_per_person,0.9375
2,30,land_reassignment,1.6875
2,45,random_routes,1.421875
2,45,related_routes,0.929688
2,45,low_utilization,1.0
2,45,worst_time_per_person,0.953125
2,45,land_reassignment,1.515625
