stage,operator,weight,calls,accepted,improved,new_global_best,feasible_repairs,failed_repairs,total_gain_minutes,mean_gain_when_improving,runtime_seconds,mean_destroyed_routes
1,land_reassignment,1.18354,29,29,1,1,29,0,10,10.0,18.833,2.483
1,low_utilization,0.780273,17,17,0,0,17,0,0,0.0,22.239,2.471
1,random_routes,1.0,23,23,0,0,23,0,0,0.0,44.263,2.522
1,related_routes,1.326294,34,34,2,2,34,0,0,0.0,45.192,2.5
1,worst_time_per_person,0.894531,18,18,0,0,18,0,0,0.0,20.878,2.722
2,land_reassignment,1.515625,17,17,1,1,17,0,0,0.0,23.55,3.529
2,low_utilization,1.0,7,7,0,0,7,0,0,0.0,56.8,3.571
2,random_routes,1.421875,1,1,1,0,1,0,0,0.0,5.723,3.0
2,related_routes,0.929688,9,8,0,0,9,0,0,0.0,28.516,3.444
2,worst_time_per_person,0.953125,11,10,0,0,11,0,0,0.0,37.627,3.455
