stage,global_iteration,iteration,elapsed_seconds,operator,destroyed_routes,destroyed_passengers,removed_aircraft_time_minutes,repair_variants,repaired_routes,repair_candidates_considered,repair_candidates_selected,repair_exact_candidate_builds,accepted,improved_current,new_global_best,current_aircraft_time_minutes,best_aircraft_time_minutes,current_passenger_time_minutes,best_passenger_time_minutes,current_flights,best_flights,temperature
1,40,40,188.083666,low_utilization,6,102,1083,148,6,558,160,109,1,0,0,14979,14979,121973,121973,91,91,0.0011092846032509122
1,41,41,189.676794,low_utilization,5,85,731,160,5,324,160,30,1,0,0,14979,14979,121973,121973,91,91,0.0010926453342021485
1,42,42,191.316466,worst_time_per_person,6,105,1407,136,6,435,160,48,1,1,1,14979,14979,121951,121951,91,91,0.0010762556541891162
1,43,43,191.606754,worst_time_per_person,5,88,1201,132,5,576,160,6,1,0,0,14979,14979,121951,121951,91,91,0.0010601118193762794
1,44,44,194.630998,land_reassignment,6,110,1586,138,6,225,160,0,0,0,0,14979,14979,121951,121951,91,91,0.0010442101420856352
1,45,45,200.45873,related_routes,6,105,1135,160,6,318,160,95,1,1,1,14979,14979,121461,121461,91,91,0.0010285469899543507
1,46,46,204.357293,random_routes,6,105,973,148,6,576,160,131,1,0,0,14979,14979,121461,121461,91,91,0.0010131187851050354
1,47,47,206.163662,low_utilization,5,83,806,160,5,558,160,57,1,0,0,14979,14979,121461,121461,91,91,0.0009979220033284597
1,48,48,207.177694,low_utilization,5,83,853,154,5,423,160,30,1,0,0,14979,14979,121461,121461,91,91,0.0009829531732785328
1,49,49,210.196177,land_reassignment,6,110,1586,138,6,225,160,0,0,0,0,14979,14979,121461,121461,91,91,0.0009682088756793548
1,50,50,213.21243,land_reassignment,6,110,1586,138,6,225,160,0,0,0,0,14979,14979,121461,121461,91,91,0.0009536857425441644
1,51,51,217.50486,worst_time_per_person,6,98,1227,156,6,711,160,44,0,0,0,14979,14979,121461,121461,91,91,0.0009393804564060019
1,52,52,220.525296,land_reassignment,6,110,1586,138,6,225,160,0,0,0,0,14979,14979,121461,121461,91,91,0.0009252897495599119
1,53,53,221.347182,worst_time_per_person,6,102,1335,141,6,570,160,27,1,0,0,14979,14979,121461,121461,91,91,0.0009114104033165132
1,54,54,227.16209,related_routes,6,108,1043,160,6,219,160,123,1,0,0,14979,14979,121461,121461,91,91,0.0008977392472667655
1,55,55,228.680497,worst_time_per_person,5,82,1045,158,5,723,160,50,1,0,0,14979,14979,121461,121461,91,91,0.000884273158557764
1,56,56,230.195353,random_routes,6,111,1237,144,6,711,160,57,1,0,0,14979,14979,121461,121461,91,91,0.0008710090611793975
1,57,57,234.46394,related_routes,6,108,966,161,6,324,160,36,1,0,0,14982,14979,121779,121461,91,91,0.0008579439252617066
1,58,58,236.477038,worst_time_per_person,6,100,1299,138,6,570,160,71,1,0,0,14982,14979,121779,121461,91,91,0.0008450747663827809
1,59,59,239.953151,related_routes,6,102,1284,132,6,144,144,20,0,0,0,14982,14979,121779,121461,91,91,0.0008323986448870392
1,60,60,242.359676,land_reassignment,5,94,1367,138,5,225,160,0,1,0,0,14982,14979,121779,121461,91,91,0.0008199126652137336
1,61,61,243.954711,low_utilization,5,89,967,156,5,711,160,46,1,0,0,14982,14979,121779,121461,91,91,0.0008076139752355276
1,62,62,248.00711,related_routes,6,105,804,144,6,144,144,98,1,0,0,14982,14979,121779,121461,91,91,0.0007954997656069948
1,63,63,249.912201,low_utilization,5,82,746,160,5,225,160,43,1,0,0,14982,14979,121779,121461,91,91,0.0007835672691228899
1,64,64,256.050916,related_routes,6,91,1030,144,5,144,144,80,1,1,1,14933,14933,122919,122919,90,90,0.0007718137600860465
1,65,65,257.042754,low_utilization,6,98,962,160,6,441,160,4,1,0,0,14933,14933,122919,122919,90,90,0.0007602365536847558
1,66,66,258.523454,low_utilization,5,83,985,140,5,435,160,60,1,0,0,14933,14933,122919,122919,90,90,0.0007488330053794845
1,67,67,262.943048,related_routes,6,105,796,160,6,225,160,71,1,0,0,14933,14933,122919,122919,90,90,0.0007376005102987922
1,68,68,266.794854,random_routes,6,103,896,160,6,441,160,105,1,0,0,14933,14933,122919,122919,90,90,0.0007265365026443104
1,69,69,269.303538,random_routes,5,89,826,152,5,435,160,77,1,0,0,14933,14933,122919,122919,90,90,0.0007156384551046457
1,70,70,271.903761,random_routes,5,95,882,154,5,435,160,86,1,0,0,14933,14933,122919,122919,90,90,0.000704903878278076
1,71,71,274.296707,related_routes,6,114,945,140,6,144,144,31,1,0,0,14933,14933,122919,122919,90,90,0.0006943303201039049
1,72,72,274.673289,related_routes,5,93,765,36,5,36,36,0,1,1,1,14933,14933,122917,122917,90,90,0.0006839153653023463
1,73,73,277.695258,related_routes,6,109,923,160,6,225,160,0,1,0,0,14944,14933,123028,122917,90,90,0.0006736566348228111
1,74,74,280.720688,related_routes,6,109,1105,160,6,219,160,24,1,1,1,14919,14919,122936,122936,90,90,0.0006635517853004689
1,75,75,281.91348,worst_time_per_person,5,89,1181,146,5,225,160,6,1,1,1,14913,14913,122932,122932,90,90,0.0006535985085209619
1,76,76,286.138594,worst_time_per_person,6,101,1280,130,6,435,160,77,1,1,1,14911,14911,123040,123040,90,90,0.0006437945308931474
1,77,77,286.70965,worst_time_per_person,5,86,1155,136,5,441,160,10,1,0,0,14911,14911,123040,123040,90,90,0.0006341376129297503
1,78,78,289.005788,worst_time_per_person,5,88,1225,126,5,441,160,12,1,0,0,14911,14911,123040,123040,90,90,0.0006246255487358039
1,79,79,292.722525,related_routes,5,91,992,144,5,144,144,26,1,1,1,14910,14910,122987,122987,90,90,0.0006152561655047669
1,80,80,295.256354,related_routes,5,90,890,144,5,144,144,12,1,0,0,14910,14910,122987,122987,90,90,0.0006060273230221954
1,81,81,297.316488,related_routes,6,108,1043,160,6,219,160,2,1,0,0,14910,14910,122987,122987,90,90,0.0005969369131768625
1,82,82,298.857965,related_routes,5,89,690,144,5,144,144,0,1,1,1,14910,14910,122940,122940,90,90,0.0005879828594792096
1,83,83,300.835425,related_routes,5,88,791,159,5,225,160,22,1,1,1,14908,14908,122650,122650,90,90,0.0005791631165870214
1,84,84,305.641947,related_routes,6,106,1159,158,6,225,160,26,1,0,0,14910,14908,123455,122650,90,90,0.0005704756698382161
1,85,85,307.415298,worst_time_per_person,6,106,1351,146,6,900,160,14,1,1,0,14910,14908,123188,122650,90,90,0.0005619185347906429
1,86,86,314.623045,random_routes,5,91,800,160,5,324,160,114,1,0,0,14910,14908,123188,122650,90,90,0.0005534897567687833
1,87,87,317.473403,worst_time_per_person,6,104,1301,144,6,729,160,4,1,0,0,14910,14908,123188,122650,90,90,0.0005451874104172515
1,88,88,320.433199,worst_time_per_person,5,81,1054,148,5,324,160,50,1,0,0,14910,14908,123188,122650,90,90,0.0005370095992609928
1,89,89,322.968787,related_routes,5,83,586,81,5,81,81,14,1,1,1,14896,14896,123055,123055,90,90,0.0005289544552720778
1,90,90,325.786319,worst_time_per_person,5,83,1144,142,5,576,160,4,1,0,0,14896,14896,123055,123055,90,90,0.0005210201384429966
1,91,91,328.744522,low_utilization,6,100,968,160,6,1083,160,56,1,1,1,14895,14895,123071,123071,90,90,0.0005132048363663517
1,92,92,329.367951,worst_time_per_person,6,105,1350,147,6,723,160,14,1,0,0,14895,14895,123071,123071,90,90,0.0005055067638208564
1,93,93,330.401647,worst_time_per_person,5,83,1117,136,5,576,160,28,1,0,0,14895,14895,123071,123071,90,90,0.0004979241623635435
1,94,94,331.510304,low_utilization,6,100,1071,157,6,723,160,20,1,0,0,14895,14895,123071,123071,90,90,0.0004904552999280903
1,95,95,332.142432,related_routes,5,95,774,77,5,81,81,0,1,0,0,14895,14895,123071,123071,90,90,0.00048309847042916893
1,96,96,335.420849,land_reassignment,5,91,1005,160,5,225,160,8,1,0,0,14895,14895,123071,123071,90,90,0.0004758519933727314
1,97,97,338.173978,random_routes,5,92,838,152,5,225,160,95,1,0,0,14895,14895,123071,123071,90,90,0.0004687142134721404
1,98,98,338.779338,worst_time_per_person,6,99,1222,134,6,441,160,12,1,0,0,14895,14895,123071,123071,90,90,0.0004616835002700583
1,99,99,341.344279,related_routes,6,109,1080,160,6,201,160,3,1,1,1,14895,14895,122549,122549,90,90,0.0004547582477660074
1,100,100,341.725664,worst_time_per_person,5,85,1074,154,5,441,160,8,1,0,0,14895,14895,122549,122549,90,90,0.0004479368740495173
1,101,101,345.922483,related_routes,6,108,1064,160,6,225,160,26,0,0,0,14895,14895,122549,122549,90,90,0.0004412178209387745
1,102,102,347.23014,related_routes,6,105,806,160,6,225,160,24,1,0,0,14895,14895,122549,122549,90,90,0.0004345995536246929
1,103,103,348.171749,worst_time_per_person,6,105,1423,138,6,324,160,27,1,0,0,14895,14895,122549,122549,90,90,0.0004280805603203225
1,104,104,348.633454,worst_time_per_person,5,86,1145,130,5,324,160,20,1,0,0,14895,14895,122549,122549,90,90,0.0004216593519155176
1,105,105,351.235177,land_reassignment,6,110,1192,144,6,144,144,0,1,1,1,14895,14895,122542,122542,90,90,0.00041533446163678485
1,106,106,353.233637,low_utilization,6,105,952,158,6,729,160,51,1,0,0,14895,14895,122542,122542,90,90,0.00040910444471223305
1,107,107,357.190475,land_reassignment,6,108,975,159,6,225,160,32,1,1,1,14892,14892,122836,122836,90,90,0.0004029678780415496
1,108,108,359.455168,low_utilization,5,89,1045,156,5,570,160,44,1,1,1,14892,14892,122833,122833,90,90,0.00039692335987092633
1,109,109,360.223333,worst_time_per_person,6,95,1205,154,6,1065,160,12,1,0,0,14892,14892,122833,122833,90,90,0.0003909695094728624
1,110,110,361.87284,low_utilization,6,106,1070,158,6,894,160,47,1,0,0,14892,14892,122833,122833,90,90,0.00038510496683076946
1,111,111,363.691523,low_utilization,6,104,1137,161,6,729,160,46,1,0,0,14892,14892,122833,122833,90,90,0.00037932839232830793
1,112,112,367.472497,random_routes,6,103,816,158,6,441,160,94,1,1,1,14892,14892,122545,122545,90,90,0.0003736384664433833
1,113,113,367.748504,land_reassignment,6,111,1192,144,6,144,144,0,1,0,0,14892,14892,122545,122545,90,90,0.00036803388944673255
1,114,114,373.429968,related_routes,5,89,669,160,5,324,160,88,0,0,0,14892,14892,122545,122545,90,90,0.00036251338110503156
1,115,115,376.238103,worst_time_per_person,6,97,1155,160,6,576,160,26,1,1,1,14892,14892,122453,122453,90,90,0.00035707568038845607
1,116,116,378.075833,related_routes,6,114,945,140,6,144,144,0,1,0,0,14892,14892,122453,122453,90,90,0.00035171954518262925
1,117,117,380.410766,random_routes,5,86,885,148,5,324,160,80,1,0,0,14892,14892,122453,122453,90,90,0.0003464437520048898
1,118,118,381.447031,low_utilization,5,88,952,146,5,570,160,32,1,0,0,14892,14892,122453,122453,90,90,0.00034124709572481645
1,119,119,384.46524,worst_time_per_person,5,85,1165,146,5,225,160,0,1,0,0,14892,14892,122453,122453,90,90,0.0003361283892889442
1,120,120,388.425193,worst_time_per_person,6,102,1353,136,6,435,160,36,0,0,0,14892,14892,122453,122453,90,90,0.00033108646344961004
1,121,121,391.662593,random_routes,5,91,743,160,5,441,160,96,1,0,0,14892,14892,122453,122453,90,90,0.0003261201664978659
1,122,122,394.389411,random_routes,5,92,867,154,5,723,160,94,1,0,0,14892,14892,122453,122453,90,90,0.0003212283640003979
1,123,123,394.873849,low_utilization,5,87,816,158,5,435,160,14,1,0,0,14892,14892,122453,122453,90,90,0.00031640993854039197
1,124,124,397.934587,land_reassignment,5,90,1005,160,5,225,160,3,0,0,0,14892,14892,122453,122453,90,90,0.00031166378946228607
1,125,125,400.955656,land_reassignment,5,90,1005,160,5,225,160,0,1,0,0,14892,14892,122515,122453,90,90,0.0003069888326203518
1,126,126,407.840413,random_routes,6,113,1123,154,6,441,160,107,1,0,0,14892,14892,122515,122453,90,90,0.00030238400013104654
1,127,127,412.274781,related_routes,6,105,760,160,6,225,160,22,0,0,0,14892,14892,122515,122453,90,90,0.0002978482401290808
1,128,128,415.328992,worst_time_per_person,6,103,1345,136,7,570,160,0,0,0,0,14892,14892,122515,122453,90,90,0.0002933805165271446
1,129,129,420.332294,related_routes,6,100,1036,158,6,324,160,38,0,0,0,14892,14892,122515,122453,90,90,0.00028897980877923746
1,130,130,423.423103,related_routes,6,105,839,160,6,225,160,0,0,0,0,14892,14892,122515,122453,90,90,0.0002846451116475489
1,131,131,425.178222,land_reassignment,6,108,1168,144,6,144,144,0,1,1,0,14892,14892,122483,122453,90,90,0.00028037543497283566
1,132,132,427.215375,low_utilization,6,108,1115,159,6,894,160,30,1,0,0,14892,14892,122483,122453,90,90,0.00027616980344824315
1,133,133,428.408402,low_utilization,5,89,964,144,5,324,160,16,1,1,1,14868,14868,122306,122306,90,90,0.0002720272563965195
1,134,134,431.604702,land_reassignment,5,89,696,141,5,144,144,11,1,1,1,14863,14863,122655,122655,90,90,0.0002679468475505717
1,135,135,435.701888,land_reassignment,5,89,768,142,5,144,144,58,1,1,1,14863,14863,122310,122310,90,90,0.0002639276448373131
1,136,136,439.286564,worst_time_per_person,6,107,1467,133,6,570,160,10,0,0,0,14863,14863,122310,122310,90,90,0.00025996873016475344
1,137,137,441.652903,land_reassignment,6,110,1064,160,6,225,160,0,1,0,0,14863,14863,122310,122310,90,90,0.00025606919921228213
1,138,138,448.305459,land_reassignment,6,102,750,160,6,225,160,54,1,1,1,14855,14855,122198,122198,90,90,0.0002522281612240979
1,139,139,451.33163,related_routes,5,86,665,144,5,144,144,0,0,0,0,14855,14855,122198,122198,90,90,0.00024844473880573643
2,140,1,453.265324,low_utilization,6,101,1077,145,6,882,160,160,1,0,0,14855,14855,122198,122198,90,90,0.002
2,141,2,456.637323,random_routes,7,123,1262,154,7,1083,160,160,1,0,0,14855,14855,122198,122198,90,90,0.00197
2,142,3,461.650143,land_reassignment,6,105,908,158,6,225,160,160,1,1,1,14855,14855,121959,121959,90,90,0.00194045
2,143,4,465.998645,random_routes,7,123,1111,162,7,729,160,135,1,1,1,14855,14855,121907,121907,90,90,0.0019113432500000001
2,144,5,473.846747,related_routes,8,145,1208,160,8,441,160,153,1,1,1,14850,14850,121952,121952,90,90,0.00188267310125
2,145,6,474.690338,low_utilization,7,126,1257,155,7,1065,160,120,1,0,0,14850,14850,121952,121952,90,90,0.00185443300473125
2,146,7,475.999596,worst_time_per_person,8,134,1611,155,8,1089,160,130,1,0,0,14850,14850,121952,121952,90,90,0.0018266165096602813
2,147,8,480.962351,related_routes,7,121,970,160,7,324,160,112,1,1,1,14838,14838,121695,121695,90,90,0.0017992172620153772
2,148,9,484.019475,worst_time_per_person,7,118,1609,134,7,729,160,118,1,0,0,14838,14838,121695,121695,90,90,0.0017722290030851465
2,149,10,490.77555,land_reassignment,7,126,1106,160,7,324,160,85,1,1,1,14838,14838,121603,121603,90,90,0.0017456455680388693
2,150,11,493.40205,land_reassignment,6,111,994,160,6,219,160,86,1,0,0,14838,14838,121603,121603,90,90,0.0017194608845182862
2,151,12,499.504316,related_routes,7,124,1325,160,7,324,160,114,1,1,1,14832,14832,121242,121242,90,90,0.0016936689712505118
2,152,13,501.158615,low_utilization,6,103,872,161,6,576,160,88,1,0,0,14832,14832,121242,121242,90,90,0.0016682639366817542
2,153,14,506.724797,land_reassignment,7,129,1241,160,7,441,160,92,1,0,0,14836,14832,121261,121242,90,90,0.001643239977631528
2,154,15,508.755467,random_routes,7,128,994,161,7,729,160,118,1,0,0,14836,14832,121261,121242,90,90,0.001618591377967055
2,155,16,512.283877,random_routes,8,143,1326,164,8,1290,160,132,1,0,0,14836,14832,121261,121242,90,90,0.001594312507297549
2,156,17,515.128371,random_routes,8,142,1312,166,8,1290,163,114,1,0,0,14836,14832,121261,121242,90,90,0.001570397819688086
2,157,18,520.19409,low_utilization,8,136,1250,160,8,1521,160,84,1,1,0,14836,14832,121243,121242,90,90,0.0015468418523927646
2,158,19,521.098952,low_utilization,6,106,965,159,6,570,160,55,1,0,0,14836,14832,121243,121242,90,90,0.001523639224606873
2,159,20,524.92033,related_routes,7,124,1366,160,7,219,160,134,1,0,0,14836,14832,121243,121242,90,90,0.00150078463623777
2,160,21,532.197437,related_routes,8,149,1288,160,8,324,160,122,1,1,0,14832,14832,121442,121242,90,90,0.0014782728666942035
2,161,22,532.544186,worst_time_per_person,7,122,1565,144,7,882,160,78,1,0,0,14832,14832,121442,121242,90,90,0.0014560987736937903
2,162,23,534.452808,related_routes,6,107,1066,161,6,324,160,108,1,1,0,14832,14832,121366,121242,90,90,0.0014342572920883834
2,163,24,538.580995,random_routes,8,142,1418,161,8,1758,160,108,1,0,0,14832,14832,121366,121242,90,90,0.0014127434327070576
2,164,25,541.190393,random_routes,8,142,1327,163,8,1083,160,92,1,1,1,14832,14832,121021,121021,90,90,0.0013915522812164517
2,165,26,546.374554,related_routes,8,145,1149,160,8,324,160,36,1,0,0,14832,14832,121043,121021,90,90,0.0013706789969982049
2,166,27,546.857512,low_utilization,8,144,1440,163,8,1503,160,38,1,0,0,14832,14832,121043,121021,90,90,0.0013501188120432317
2,167,28,550.400433,land_reassignment,7,124,1023,160,7,324,160,47,1,0,0,14832,14832,121043,121021,90,90,0.001329867029862583
2,168,29,551.663616,random_routes,8,141,1330,164,8,1089,160,62,1,0,0,14832,14832,121043,121021,90,90,0.0013099190244146442
2,169,30,554.38307,related_routes,7,127,1033,160,7,324,160,4,1,1,0,14832,14832,121021,121021,90,90,0.0012902702390484245
2,170,31,554.80204,low_utilization,7,126,1292,153,7,1290,160,46,1,0,0,14832,14832,121021,121021,90,90,0.0012709161854626981
2,171,32,555.736142,low_utilization,8,135,1368,153,8,1515,160,24,1,0,0,14832,14832,121021,121021,90,90,0.0012518524426807576
2,172,33,556.547397,low_utilization,6,105,988,149,6,729,160,33,1,0,0,14832,14832,121021,121021,90,90,0.0012330746560405463
2,173,34,559.591863,random_routes,7,123,1168,158,7,711,160,129,1,0,0,14832,14832,121021,121021,90,90,0.0012145785361999382
2,174,35,563.56858,related_routes,6,108,868,160,6,225,160,34,1,0,0,14832,14832,121021,121021,90,90,0.001196359858156939
2,175,36,567.406286,random_routes,6,113,1037,161,6,435,160,107,1,0,0,14832,14832,121021,121021,90,90,0.001178414460284585
2,176,37,567.85828,low_utilization,6,98,1009,147,6,1083,160,6,1,0,0,14832,14832,121021,121021,90,90,0.0011607382433803163
2,177,38,570.110451,worst_time_per_person,7,123,1546,146,7,1035,160,97,1,0,0,14832,14832,121021,121021,90,90,0.0011433271697296114
2,178,39,574.196033,land_reassignment,6,108,883,160,6,324,160,2,1,0,0,14832,14832,121021,121021,90,90,0.0011261772621836673
2,179,40,578.241809,related_routes,6,107,1075,160,6,219,160,24,1,0,0,14832,14832,121021,121021,90,90,0.0011092846032509122
2,180,41,584.602186,related_routes,7,130,1039,160,7,225,160,84,0,0,0,14832,14832,121021,121021,90,90,0.0010926453342021485
2,181,42,589.638038,random_routes,6,108,888,157,6,441,160,90,1,0,0,14832,14832,121021,121021,90,90,0.0010762556541891162
2,182,43,593.649586,related_routes,8,146,1339,158,8,225,160,18,0,0,0,14832,14832,121021,121021,90,90,0.0010601118193762794
2,183,44,598.362316,random_routes,6,107,1012,157,6,729,160,115,1,0,0,14832,14832,121021,121021,90,90,0.0010442101420856352
2,184,45,603.401232,related_routes,6,100,727,160,6,324,160,52,1,0,0,14844,14832,121035,121021,90,90,0.0010285469899543507
2,185,46,603.881649,worst_time_per_person,6,99,1221,148,6,570,160,66,1,0,0,14844,14832,121035,121021,90,90,0.0010131187851050354
2,186,47,605.352273,low_utilization,8,140,1515,154,8,1497,160,28,1,1,0,14844,14832,121027,121021,90,90,0.0009979220033284597
2,187,48,605.813007,worst_time_per_person,6,105,1332,147,6,858,160,58,1,1,0,14843,14832,120972,121021,90,90,0.0009829531732785328
2,188,49,610.834424,related_routes,6,99,719,81,6,81,81,24,1,0,0,14849,14832,120986,121021,90,90,0.0009682088756793548
2,189,50,613.765313,random_routes,8,148,1385,162,8,1515,160,74,1,1,0,14849,14832,120983,121021,90,90,0.0009536857425441644
2,190,51,615.271671,random_routes,8,146,1482,155,8,1278,160,34,1,0,0,14849,14832,120983,121021,90,90,0.0009393804564060019
2,191,52,615.818882,worst_time_per_person,6,99,1260,143,6,705,160,38,1,0,0,14849,14832,120983,121021,90,90,0.0009252897495599119
2,192,53,619.554385,related_routes,6,110,1017,160,6,435,160,12,1,0,0,14849,14832,120983,121021,90,90,0.0009114104033165132
2,193,54,625.171399,related_routes,6,107,1040,160,6,435,160,42,1,0,0,14859,14832,121248,121021,90,90,0.0008977392472667655
2,194,55,630.031594,related_routes,6,107,1029,160,6,324,160,20,1,1,0,14849,14832,120983,121021,90,90,0.000884273158557764
2,195,56,634.524856,worst_time_per_person,7,123,1643,134,7,705,160,10,1,0,0,14849,14832,120983,121021,90,90,0.0008710090611793975
2,196,57,635.802399,worst_time_per_person,6,101,1290,154,6,876,160,44,1,0,0,14849,14832,120983,121021,90,90,0.0008579439252617066
2,197,58,640.933092,related_routes,7,126,1780,140,7,225,160,83,0,0,0,14849,14832,120983,121021,90,90,0.0008450747663827809
