stage,operator,weight,calls,accepted,improved,new_global_best,feasible_repairs,failed_repairs,total_gain_minutes,mean_gain_when_improving,runtime_seconds,mean_destroyed_routes
1,land_reassignment,1.0,2,2,1,1,2,0,10,10.0,9.842,4.0
1,low_utilization,1.0,1,1,0,0,1,0,0,0.0,32.011,5.0
1,random_routes,1.0,3,3,0,0,3,0,0,0.0,44.66,5.0
1,related_routes,1.0,2,2,0,0,2,0,0,0.0,36.08,4.5
1,worst_time_per_person,1.0,2,1,0,0,2,0,0,0.0,32.744,4.5
2,land_reassignment,1.0,2,2,1,1,2,0,3,3.0,13.74,5.0
2,low_utilization,1.0,1,1,1,1,1,0,3,3.0,17.805,5.0
2,random_routes,1.0,3,3,1,1,3,0,6,6.0,48.061,5.667
2,related_routes,1.0,2,1,1,1,2,0,124,124.0,29.942,5.5
2,worst_time_per_person,1.0,2,2,0,0,2,0,0,0.0,43.478,5.5
