stage,operator,weight,calls,accepted,improved,new_global_best,feasible_repairs,failed_repairs,total_gain_minutes,mean_gain_when_improving,runtime_seconds,mean_destroyed_routes
1,land_reassignment,1.916667,3,3,1,1,3,0,10,10.0,27.67,4.333
1,low_utilization,1.416667,6,5,1,1,6,0,14,14.0,70.231,4.333
1,random_routes,1.0,2,2,0,0,2,0,0,0.0,22.463,5.0
1,related_routes,1.0,3,3,0,0,3,0,0,0.0,23.245,4.333
1,worst_time_per_person,1.0,1,1,0,0,1,0,0,0.0,13.709,5.0
2,land_reassignment,1.0,2,2,0,0,2,0,0,0.0,5.77,5.0
2,low_utilization,2.1,6,6,2,2,6,0,14,7.0,81.051,5.5
2,random_routes,1.916667,3,3,1,1,3,0,7,7.0,34.493,5.667
2,related_routes,0.75,0,0,0,0,0,0,0,0.0,0.0,0.0
2,worst_time_per_person,0.9,5,3,0,0,5,0,0,0.0,47.194,5.8
