stage,operator,weight,calls,accepted,improved,new_global_best,feasible_repairs,failed_repairs,total_gain_minutes,mean_gain_when_improving,runtime_seconds,mean_destroyed_routes
1,land_reassignment,2.833333,5,5,4,2,5,0,179,44.75,33.15,5.6
1,low_utilization,1.0,5,5,0,0,5,0,0,0.0,30.664,5.4
1,random_routes,1.0,6,6,1,0,6,0,0,0.0,40.892,5.333
1,related_routes,1.0,3,3,0,0,3,0,0,0.0,11.826,5.667
1,worst_time_per_person,1.7,8,8,3,1,8,0,2,0.667,35.909,5.375
2,land_reassignment,3.0625,7,7,3,3,7,0,71,23.667,35.291,7.0
2,low_utilization,2.03125,4,4,1,1,4,0,38,38.0,15.818,7.25
2,random_routes,0.9375,8,7,0,0,8,0,0,0.0,32.989,7.125
2,related_routes,2.3125,7,6,3,2,7,0,68,22.667,48.502,6.714
2,worst_time_per_person,2.15625,7,6,3,1,7,0,18,6.0,20.462,7.0
