stage,operator,weight,calls,accepted,improved,new_global_best,feasible_repairs,failed_repairs,total_gain_minutes,mean_gain_when_improving,runtime_seconds,mean_destroyed_routes
1,land_reassignment,1.6875,5,5,1,1,5,0,10,10.0,22.777,4.6
1,low_utilization,2.25,5,4,2,2,5,0,120,60.0,40.856,4.2
1,random_routes,1.0,8,8,0,0,8,0,0,0.0,55.703,4.5
1,related_routes,1.0,2,2,1,1,2,0,0,0.0,21.532,5.0
1,worst_time_per_person,3.75,2,2,1,1,2,0,0,0.0,14.743,4.5
2,land_reassignment,1.55,8,8,1,1,8,0,3,3.0,30.102,5.375
2,low_utilization,0.916667,4,3,1,0,4,0,29,29.0,49.777,5.5
2,random_routes,1.0,3,3,0,0,3,0,0,0.0,18.227,5.333
2,related_routes,0.9375,7,6,1,0,7,0,2,2.0,33.737,5.429
2,worst_time_per_person,0.875,3,2,0,0,3,0,0,0.0,27.519,5.333
