wall_time,stage1_ub,stage2_optional,stage2_time,global_valid_lb,restricted_lp,gap_percent,elite_pool_size,route_count,column_count
3.793255,29155,157,29155,14125,15197.677631578943,51.552049391185044,3,3116,179
8.094172,29155,157,29155,14125,15197.677631578943,51.552049391185044,3,3116,179
17.140337,29155,157,29155,14125,15197.677631578943,51.552049391185044,3,3116,179
19.824003,29155,157,29155,14125,15197.677631578943,51.552049391185044,3,3116,179
23.65908,29155,157,29155,14125,15197.677631578943,51.552049391185044,3,3116,179
26.181771,29155,157,29155,14125,15197.677631578943,51.552049391185044,3,3116,179
30.525807,29155,157,29155,14125,15197.677631578943,51.552049391185044,3,3116,179
34.136477,29155,157,29155,14125,15197.677631578943,51.552049391185044,3,3116,179
38.500259,29155,157,29155,14125,15197.677631578943,51.552049391185044,3,3116,179
41.040849,29155,157,29155,14125,15197.677631578943,51.552049391185044,3,3116,179
45.30833,29155,157,29155,14125,15197.677631578943,51.552049391185044,3,3116,179
48.497736,29155,157,29155,14125,15197.677631578943,51.552049391185044,3,3116,179
51.250389,29155,157,29155,14125,15197.677631578943,51.552049391185044,3,3116,179
54.374437,29155,157,29155,14125,15197.677631578943,51.552049391185044,3,3116,179
58.905718,29155,157,29155,14125,15197.677631578943,51.552049391185044,3,3116,179
61.952518,29155,157,29155,14125,15197.677631578943,51.552049391185044,3,3116,179
62.589792,29155,157,29155,14125,15197.677631578943,51.552049391185044,3,3116,179
66.260054,29155,157,29155,14125,15197.677631578943,51.552049391185044,3,3116,179
69.743953,29155,157,29155,14125,15197.677631578943,51.552049391185044,3,3116,179
72.817219,29155,157,29155,14125,15197.677631578943,51.552049391185044,3,3116,179
76.358353,29155,157,29155,14125,15197.677631578943,51.552049391185044,3,3116,179
79.055034,29155,157,29155,14125,15197.677631578943,51.552049391185044,3,3116,179
82.693336,29155,157,29155,14125,15197.677631578943,51.552049391185044,3,3116,179
86.96608,29155,157,29155,14125,15197.677631578943,51.552049391185044,3,3116,179
90.170163,29155,157,29155,14125,15197.677631578943,51.552049391185044,3,3116,179
94.437827,29155,157,29155,14125,15197.677631578943,51.552049391185044,3,3116,179
97.537071,29155,157,29155,14125,15197.677631578943,51.552049391185044,3,3116,179
101.886145,29155,157,29155,14125,15197.677631578943,51.552049391185044,3,3116,179
104.488494,29155,157,29155,14125,15197.677631578943,51.552049391185044,3,3116,179
108.730691,29155,157,29155,14125,15197.677631578943,51.552049391185044,3,3116,179
112.988149,29155,157,29155,14125,15197.677631578943,51.552049391185044,3,3116,179
122.51469,29155,157,29155,14125,15197.677631578943,51.552049391185044,3,3116,179
127.916294,29155,157,29155,14125,15197.677631578943,51.552049391185044,3,3116,179
133.220896,29155,157,29155,14125,15197.677631578943,51.552049391185044,3,3116,179
138.58335,29155,157,29155,14125,15197.677631578943,51.552049391185044,3,3116,179
143.514513,29155,157,29155,14125,15197.677631578943,51.552049391185044,3,3116,179
148.032634,29155,157,29155,14125,15197.677631578943,51.552049391185044,3,3116,179
153.383843,29155,157,29155,14125,15197.677631578943,51.552049391185044,3,3116,179
158.834359,29155,157,29155,14125,15197.677631578943,51.552049391185044,3,3116,179
164.119112,29155,157,29155,14125,15197.677631578943,51.552049391185044,3,3116,179
169.424232,29155,157,29155,14125,15197.677631578943,51.552049391185044,3,3116,179
174.588671,29155,157,29155,14125,15197.677631578943,51.552049391185044,3,3116,179
180.077241,29155,157,29155,14125,15197.677631578943,51.552049391185044,3,3116,179
180.587837,29155,157,29155,14125,15197.677631578943,51.552049391185044,3,3116,179
182.600224,29155,157,29155,14125,15197.677631578943,51.552049391185044,3,3116,179
188.063965,29155,157,29155,14125,15197.677631578943,51.552049391185044,3,3116,179
188.526686,29155,157,29155,14125,15197.677631578943,51.552049391185044,3,3116,179
194.161836,29155,157,29155,14125,15197.677631578943,51.552049391185044,3,3116,179
199.522971,29155,157,29155,14125,15197.677631578943,51.552049391185044,3,3116,179
204.839889,29155,157,29155,14125,15197.677631578943,51.552049391185044,3,3116,179
208.999552,29155,157,29155,14125,15197.677631578943,51.552049391185044,3,3116,179
213.771404,29155,157,29155,14125,15197.677631578943,51.552049391185044,3,3116,179
219.125821,29155,157,29155,14125,15197.677631578943,51.552049391185044,3,3116,179
224.416833,29155,157,29155,14125,15197.677631578943,51.552049391185044,3,3116,179
229.639982,29155,157,29155,14125,15197.677631578943,51.552049391185044,3,3116,179
235.016844,29155,157,29155,14125,15197.677631578943,51.552049391185044,3,3116,179
239.649483,29155,157,29155,14125,15197.677631578943,51.552049391185044,3,3116,179
243.176138,29155,157,29155,14125,15197.677631578943,51.552049391185044,3,3116,179
243.78487,29155,157,29155,14125,15197.677631578943,51.552049391185044,3,3116,179
251.291394,29155,157,29155,14125,15197.677631578943,51.552049391185044,3,3116,179
259.047601,29155,157,29155,14125,15197.677631578943,51.552049391185044,3,3116,179
266.337289,29155,157,29155,14125,15197.677631578943,51.552049391185044,3,3116,179
272.484391,29155,157,29155,14125,15197.677631578943,51.552049391185044,3,3116,179
279.703809,29155,157,29155,14125,15197.677631578943,51.552049391185044,3,3116,179
287.013524,29155,157,29155,14125,15197.677631578943,51.552049391185044,3,3116,179
294.356039,29155,157,29155,14125,15197.677631578943,51.552049391185044,3,3116,179
302.159623,29155,157,29155,14125,15197.677631578943,51.552049391185044,3,3116,179
