stage,operator,weight,calls,accepted,improved,new_global_best,feasible_repairs,failed_repairs,total_gain_minutes,mean_gain_when_improving,runtime_seconds,mean_destroyed_routes
1,land_reassignment,1.386719,15,13,2,1,15,0,19,9.5,153.464,5.467
1,low_utilization,3.457031,8,4,3,3,8,0,96,32.0,335.686,5.625
1,random_routes,2.928385,13,11,3,3,13,0,0,0.0,382.65,5.538
1,related_routes,1.785482,10,5,1,1,10,0,5,5.0,192.324,5.6
1,worst_time_per_person,1.633854,14,7,2,1,14,0,88,44.0,240.872,5.5
2,land_reassignment,0.76875,11,7,2,0,11,0,6,3.0,86.116,7.182
2,low_utilization,1.626562,13,6,4,0,13,0,25,6.25,331.913,7.077
2,random_routes,1.766406,10,9,3,0,10,0,0,0.0,285.924,6.4
2,related_routes,0.670898,9,3,1,0,9,0,4,4.0,150.234,7.333
2,worst_time_per_person,1.394531,17,9,5,0,17,0,9,1.8,190.028,7.235
