stage,operator,weight,calls,accepted,improved,new_global_best,feasible_repairs,failed_repairs,total_gain_minutes,mean_gain_when_improving,runtime_seconds,mean_destroyed_routes
1,land_reassignment,1.386719,13,13,1,1,13,0,10,10.0,18.088,3.308
1,low_utilization,2.675781,19,19,2,2,19,0,0,0.0,52.005,3.526
1,random_routes,1.0,11,11,0,0,11,0,0,0.0,45.684,3.455
1,related_routes,0.8125,6,6,0,0,6,0,0,0.0,9.587,3.5
1,worst_time_per_person,1.232031,11,11,1,1,11,0,7,7.0,29.16,3.545
2,land_reassignment,1.0,14,14,0,0,14,0,0,0.0,10.903,4.571
2,low_utilization,2.03125,14,14,1,1,14,0,1,1.0,34.091,4.5
2,random_routes,3.921875,13,13,2,2,13,0,9,4.5,56.696,4.538
2,related_routes,1.0,9,9,0,0,9,0,0,0.0,15.261,4.556
2,worst_time_per_person,0.971875,10,9,0,0,10,0,0,0.0,35.041,4.6
