stage,global_iteration,iteration,elapsed_seconds,operator,destroyed_routes,destroyed_passengers,removed_aircraft_time_minutes,repair_variants,repaired_routes,accepted,improved_current,new_global_best,current_aircraft_time_minutes,best_aircraft_time_minutes,current_passenger_time_minutes,best_passenger_time_minutes,current_flights,best_flights,temperature
1,1,1,4.446343,land_reassignment,3,54,388,144,3,1,1,1,15361,15361,120829,120829,95,95,0.002
1,2,2,8.107453,random_routes,4,73,680,130,4,1,0,0,15361,15361,120829,120829,95,95,0.00197
1,3,3,12.339384,worst_time_per_person,4,67,923,134,4,1,0,0,15361,15361,120829,120829,95,95,0.00194045
1,4,4,19.3767,low_utilization,4,58,633,215,4,1,1,1,15361,15361,120735,120735,95,95,0.0019113432500000001
1,5,5,22.168847,worst_time_per_person,3,51,711,215,3,1,0,0,15361,15361,120735,120735,95,95,0.00188267310125
1,6,6,26.23251,worst_time_per_person,4,59,928,112,4,1,0,0,15361,15361,120735,120735,95,95,0.00185443300473125
1,7,7,37.251368,random_routes,4,62,806,292,4,1,0,0,15361,15361,120737,120735,95,95,0.0018266165096602813
1,8,8,40.021907,worst_time_per_person,4,69,1074,71,4,1,0,0,15361,15361,120737,120735,95,95,0.0017992172620153772
1,9,9,43.916894,random_routes,3,51,398,144,3,1,0,0,15361,15361,120737,120735,95,95,0.0017722290030851465
1,10,10,45.914289,land_reassignment,3,52,473,75,3,1,0,0,15361,15361,120737,120735,95,95,0.0017456455680388693
1,11,11,47.209665,worst_time_per_person,3,44,714,75,3,1,1,1,15354,15354,121035,121035,95,95,0.0017194608845182862
1,12,12,48.218332,land_reassignment,3,50,481,36,3,1,0,0,15354,15354,121035,121035,95,95,0.0016936689712505118
1,13,13,50.217719,random_routes,3,54,514,81,3,1,0,0,15354,15354,121035,121035,95,95,0.0016682639366817542
1,14,14,53.488813,random_routes,4,76,556,138,4,1,0,0,15354,15354,121035,121035,95,95,0.001643239977631528
1,15,15,55.442381,related_routes,4,76,594,81,4,1,0,0,15354,15354,121035,121035,95,95,0.001618591377967055
1,16,16,61.596173,low_utilization,4,57,543,219,4,1,0,0,15354,15354,121035,121035,95,95,0.001594312507297549
1,17,17,64.944369,low_utilization,3,46,525,197,3,1,1,1,15354,15354,121033,121033,95,95,0.001570397819688086
1,18,18,69.543362,related_routes,4,71,632,144,4,1,0,0,15354,15354,121033,121033,95,95,0.0015468418523927646
1,19,19,72.597401,low_utilization,4,56,660,130,4,1,0,0,15354,15354,121033,121033,95,95,0.001523639224606873
1,20,20,73.350627,related_routes,4,65,532,34,4,1,0,0,15354,15354,121033,121033,95,95,0.00150078463623777
1,21,21,73.370798,related_routes,3,50,481,36,3,1,0,0,15354,15354,121033,121033,95,95,0.0014782728666942035
1,22,22,73.415318,worst_time_per_person,3,50,751,71,3,1,0,0,15354,15354,121033,121033,95,95,0.0014560987736937903
1,23,23,76.008464,land_reassignment,3,54,428,79,3,1,0,0,15354,15354,121033,121033,95,95,0.0014342572920883834
1,24,24,78.61994,worst_time_per_person,4,65,1003,134,4,1,0,0,15354,15354,121033,121033,95,95,0.0014127434327070576
1,25,25,78.671338,related_routes,3,55,463,36,3,1,0,0,15354,15354,121033,121033,95,95,0.0013915522812164517
1,26,26,78.693032,land_reassignment,3,51,372,36,3,1,0,0,15354,15354,121033,121033,95,95,0.0013706789969982049
1,27,27,80.612031,random_routes,3,49,558,134,3,1,0,0,15354,15354,121033,121033,95,95,0.0013501188120432317
1,28,28,82.615252,land_reassignment,4,73,558,81,4,1,0,0,15354,15354,121033,121033,95,95,0.001329867029862583
1,29,29,86.826372,worst_time_per_person,4,66,926,270,4,1,0,0,15354,15354,121033,121033,95,95,0.0013099190244146442
1,30,30,86.893046,land_reassignment,4,73,627,34,4,1,0,0,15354,15354,121033,121033,95,95,0.0012902702390484245
1,31,31,87.370133,low_utilization,3,42,543,120,3,1,0,0,15354,15354,121033,121033,95,95,0.0012709161854626981
1,32,32,93.205725,low_utilization,4,63,757,288,4,1,0,0,15354,15354,121033,121033,95,95,0.0012518524426807576
1,33,33,96.235003,random_routes,4,60,735,116,4,1,0,0,15354,15354,121033,121033,95,95,0.0012330746560405463
1,34,34,98.506325,low_utilization,3,44,439,138,3,1,0,0,15354,15354,121033,121033,95,95,0.0012145785361999382
1,35,35,101.004933,random_routes,3,52,532,132,3,1,0,0,15354,15354,121033,121033,95,95,0.001196359858156939
1,36,36,102.864421,low_utilization,4,56,661,195,4,1,0,0,15354,15354,121033,121033,95,95,0.001178414460284585
1,37,37,103.362276,low_utilization,3,44,535,120,3,1,0,0,15354,15354,121033,121033,95,95,0.0011607382433803163
1,38,38,104.3635,low_utilization,3,45,429,138,3,1,0,0,15354,15354,121033,121033,95,95,0.0011433271697296114
1,39,39,104.946769,low_utilization,4,56,630,126,4,1,0,0,15354,15354,121033,121033,95,95,0.0011261772621836673
1,40,40,106.214977,low_utilization,3,39,386,79,3,1,0,0,15354,15354,121033,121033,95,95,0.0011092846032509122
1,41,41,109.183563,low_utilization,4,61,575,219,4,1,0,0,15354,15354,121033,121033,95,95,0.0010926453342021485
1,42,42,114.829029,worst_time_per_person,4,62,925,197,4,1,0,0,15363,15354,120881,121033,95,95,0.0010762556541891162
1,43,43,119.172101,random_routes,3,46,500,144,3,1,0,0,15363,15354,120881,121033,95,95,0.0010601118193762794
1,44,44,119.346645,low_utilization,3,44,437,138,3,1,0,0,15363,15354,120881,121033,95,95,0.0010442101420856352
1,45,45,119.360544,land_reassignment,4,76,594,81,4,1,0,0,15363,15354,120881,121033,95,95,0.0010285469899543507
1,46,46,121.750635,low_utilization,3,39,554,134,3,1,0,0,15363,15354,120881,121033,95,95,0.0010131187851050354
1,47,47,125.621651,land_reassignment,4,73,550,142,4,1,0,0,15363,15354,120881,121033,95,95,0.0009979220033284597
1,48,48,126.199008,land_reassignment,3,57,434,36,3,1,0,0,15363,15354,120881,121033,95,95,0.0009829531732785328
1,49,49,128.389705,low_utilization,4,59,545,219,4,1,0,0,15363,15354,120881,121033,95,95,0.0009682088756793548
1,50,50,130.601617,related_routes,3,47,395,81,3,1,0,0,15363,15354,120881,121033,95,95,0.0009536857425441644
1,51,51,136.9452,low_utilization,4,59,608,308,4,1,0,0,15363,15354,120881,121033,95,95,0.0009393804564060019
1,52,52,138.169759,land_reassignment,3,51,343,81,3,1,0,0,15363,15354,120881,121033,95,95,0.0009252897495599119
1,53,53,138.415414,land_reassignment,3,52,465,81,3,1,0,0,15363,15354,120881,121033,95,95,0.0009114104033165132
1,54,54,140.448545,low_utilization,4,58,615,219,4,1,0,0,15363,15354,120881,121033,95,95,0.0008977392472667655
1,55,55,149.620699,random_routes,4,67,728,318,4,1,0,0,15363,15354,120881,121033,95,95,0.000884273158557764
1,56,56,149.647544,land_reassignment,3,54,412,80,3,1,0,0,15363,15354,120881,121033,95,95,0.0008710090611793975
1,57,57,150.525823,random_routes,3,45,461,73,3,1,0,0,15363,15354,120881,121033,95,95,0.0008579439252617066
1,58,58,153.046614,low_utilization,3,48,478,211,3,1,0,0,15363,15354,120881,121033,95,95,0.0008450747663827809
1,59,59,154.476348,worst_time_per_person,3,45,786,134,3,1,0,0,15363,15354,120881,121033,95,95,0.0008323986448870392
1,60,60,154.542346,worst_time_per_person,3,52,750,120,3,1,0,0,15363,15354,120881,121033,95,95,0.0008199126652137336
2,61,1,154.705167,worst_time_per_person,4,59,837,63,4,1,0,0,15354,15354,121033,121033,95,95,0.002
2,62,2,155.735783,land_reassignment,4,71,662,144,4,1,0,0,15354,15354,121033,121033,95,95,0.00197
2,63,3,160.401112,related_routes,5,78,1040,75,5,1,0,0,15354,15354,121033,121033,95,95,0.00194045
2,64,4,162.047896,low_utilization,4,59,604,290,4,1,0,0,15354,15354,121033,121033,95,95,0.0019113432500000001
2,65,5,163.713369,low_utilization,4,61,589,201,4,1,0,0,15354,15354,121033,121033,95,95,0.00188267310125
2,66,6,168.39076,low_utilization,5,79,834,399,5,1,0,0,15354,15354,121033,121033,95,95,0.00185443300473125
2,67,7,174.817028,worst_time_per_person,5,86,1177,389,5,1,0,0,15354,15354,121033,121033,95,95,0.0018266165096602813
