stage,operator,weight,calls,accepted,improved,new_global_best,feasible_repairs,failed_repairs,total_gain_minutes,mean_gain_when_improving,runtime_seconds,mean_destroyed_routes
1,land_reassignment,1.523438,9,9,2,2,9,0,20,10.0,20.025,4.556
1,low_utilization,3.205729,11,11,3,3,11,0,78,26.0,63.815,4.545
1,random_routes,1.0,9,9,0,0,9,0,0,0.0,64.099,4.667
1,related_routes,1.854167,13,10,2,2,13,0,5,2.5,54.359,4.692
1,worst_time_per_person,3.525781,18,16,6,5,18,0,12,2.0,70.27,4.278
2,land_reassignment,1.0,10,10,0,0,10,0,0,0.0,21.559,5.3
2,low_utilization,3.109375,14,13,6,3,14,0,29,4.833,117.431,5.429
2,random_routes,1.113281,10,9,3,0,10,0,2,0.667,135.084,5.7
2,related_routes,0.929688,8,7,0,0,8,0,0,0.0,62.995,5.625
2,worst_time_per_person,3.722656,18,15,10,6,18,0,99,9.9,86.116,5.611
