method,k,facility,cluster,medoid,distance_to_medoid_km
pam,5,F008,1,F010,19.0
pam,5,F009,1,F010,62.0
pam,5,F010,1,F010,0.0
pam,5,F011,1,F010,47.0
pam,5,F012,0,F018,19.0
pam,5,F013,1,F010,72.0
pam,5,F014,0,F018,52.0
pam,5,F015,0,F018,41.0
pam,5,F016,0,F018,17.0
pam,5,F017,0,F018,43.0
pam,5,F018,0,F018,0.0
pam,5,F019,0,F018,44.0
pam,5,F020,0,F018,36.0
pam,5,F021,2,F021,0.0
pam,5,F022,0,F018,31.0
pam,5,F023,2,F021,60.0
pam,5,F024,2,F021,32.0
pam,5,F025,2,F021,17.0
pam,5,F026,0,F018,14.0
pam,5,F027,2,F021,37.0
pam,5,F028,1,F010,59.0
pam,5,F029,2,F021,17.0
pam,5,F030,0,F018,46.0
pam,5,F031,2,F021,44.0
pam,5,F032,2,F021,66.0
pam,5,F033,0,F018,49.0
pam,5,F034,2,F021,57.0
pam,5,F035,2,F021,41.0
pam,5,F036,2,F021,26.0
pam,5,F037,3,F040,27.0
pam,5,F038,4,F048,17.0
pam,5,F039,4,F048,31.0
pam,5,F040,3,F040,0.0
pam,5,F041,4,F048,60.0
pam,5,F042,3,F040,28.0
pam,5,F043,3,F040,48.0
pam,5,F044,3,F040,28.0
pam,5,F045,4,F048,45.0
pam,5,F046,4,F048,50.0
pam,5,F047,4,F048,51.0
pam,5,F048,4,F048,0.0
pam,5,F049,4,F048,34.0
pam,5,F050,3,F040,67.0
pam,5,F051,4,F048,33.0
pam,5,F052,4,F048,23.0
pam,6,F001,0,F018,34.0
pam,6,F002,1,F010,56.0
pam,6,F003,1,F010,26.0
pam,6,F004,1,F010,34.0
pam,6,F005,0,F018,17.0
pam,6,F006,1,F010,27.0
pam,6,F007,1,F010,37.0
pam,6,F008,1,F010,19.0
pam,6,F009,1,F010,62.0
pam,6,F010,1,F010,0.0
pam,6,F011,1,F010,47.0
pam,6,F012,0,F018,19.0
pam,6,F013,1,F010,72.0
pam,6,F014,0,F018,52.0
pam,6,F015,0,F018,41.0
pam,6,F016,0,F018,17.0
pam,6,F017,0,F018,43.0
pam,6,F018,0,F018,0.0
pam,6,F019,2,F024,30.0
pam,6,F020,0,F018,36.0
pam,6,F021,2,F024,32.0
pam,6,F022,0,F018,31.0
pam,6,F023,3,F031,25.0
pam,6,F024,2,F024,0.0
pam,6,F025,2,F024,39.0
pam,6,F026,0,F018,14.0
pam,6,F027,2,F024,20.0
pam,6,F028,1,F010,59.0
pam,6,F029,2,F024,16.0
pam,6,F030,0,F018,46.0
pam,6,F031,3,F031,0.0
pam,6,F032,3,F031,38.0
pam,6,F033,2,F024,40.0
pam,6,F034,2,F024,38.0
pam,6,F035,3,F031,42.0
pam,6,F036,3,F031,29.0
pam,6,F037,4,F042,18.0
pam,6,F038,5,F038,0.0
pam,6,F039,5,F038,42.0
pam,6,F040,4,F042,28.0
pam,6,F041,5,F038,44.0
pam,6,F042,4,F042,0.0
pam,6,F043,5,F038,51.0
pam,6,F044,4,F042,56.0
pam,6,F045,5,F038,31.0
pam,6,F046,3,F031,34.0
pam,6,F047,3,F031,25.0
pam,6,F048,5,F038,17.0
pam,6,F049,3,F031,44.0
pam,6,F050,4,F042,40.0
pam,6,F051,5,F038,17.0
pam,6,F052,5,F038,37.0
pam,7,F001,0,F016,41.0
pam,7,F002,1,F007,30.0
pam,7,F003,1,F007,48.0
pam,7,F004,1,F007,36.0
pam,7,F005,0,F016,25.0
pam,7,F006,1,F007,14.0
pam,7,F007,1,F007,0.0
pam,7,F008,2,F011,33.0
pam,7,F009,2,F011,35.0
pam,7,F010,1,F007,37.0
pam,7,F011,2,F011,0.0
pam,7,F012,0,F016,36.0
pam,7,F013,1,F007,46.0
pam,7,F014,2,F011,44.0
pam,7,F015,2,F011,31.0
pam,7,F016,0,F016,0.0
pam,7,F017,0,F016,29.0
pam,7,F018,0,F016,17.0
pam,7,F019,3,F024,30.0
pam,7,F020,0,F016,20.0
pam,7,F021,3,F024,32.0
pam,7,F022,0,F016,25.0
pam,7,F023,4,F031,25.0
pam,7,F024,3,F024,0.0
pam,7,F025,3,F024,39.0
pam,7,F026,0,F016,24.0
pam,7,F027,3,F024,20.0
pam,7,F028,2,F011,20.0
pam,7,F029,3,F024,16.0
pam,7,F030,0,F016,40.0
pam,7,F031,4,F031,0.0
pam,7,F032,4,F031,38.0
pam,7,F033,3,F024,40.0
pam,7,F034,3,F024,38.0
pam,7,F035,4,F031,42.0
pam,7,F036,4,F031,29.0
pam,7,F037,5,F042,18.0
pam,7,F038,6,F038,0.0
pam,7,F039,6,F038,42.0
pam,7,F040,5,F042,28.0
pam,7,F041,6,F038,44.0
pam,7,F042,5,F042,0.0
pam,7,F043,6,F038,51.0
pam,7,F044,5,F042,56.0
pam,7,F045,6,F038,31.0
pam,7,F046,4,F031,34.0
pam,7,F047,4,F031,25.0
pam,7,F048,6,F038,17.0
pam,7,F049,4,F031,44.0
pam,7,F050,5,F042,40.0
pam,7,F051,6,F038,17.0
pam,7,F052,6,F038,37.0
pam,8,F001,0,F016,41.0
pam,8,F002,1,F007,30.0
pam,8,F003,1,F007,48.0
pam,8,F004,1,F007,36.0
pam,8,F005,0,F016,25.0
pam,8,F006,1,F007,14.0
pam,8,F007,1,F007,0.0
pam,8,F008,2,F011,33.0
pam,8,F009,2,F011,35.0
pam,8,F010,1,F007,37.0
pam,8,F011,2,F011,0.0
pam,8,F012,0,F016,36.0
pam,8,F013,1,F007,46.0
pam,8,F014,2,F011,44.0
pam,8,F015,2,F011,31.0
pam,8,F016,0,F016,0.0
pam,8,F017,0,F016,29.0
pam,8,F018,0,F016,17.0
pam,8,F019,3,F024,30.0
pam,8,F020,0,F016,20.0
pam,8,F021,3,F024,32.0
pam,8,F022,0,F016,25.0
pam,8,F023,4,F031,25.0
pam,8,F024,3,F024,0.0
pam,8,F025,3,F024,39.0
pam,8,F026,0,F016,24.0
pam,8,F027,3,F024,20.0
pam,8,F028,2,F011,20.0
pam,8,F029,3,F024,16.0
pam,8,F030,0,F016,40.0
pam,8,F031,4,F031,0.0
pam,8,F032,4,F031,38.0
pam,8,F033,3,F024,40.0
pam,8,F034,3,F024,38.0
pam,8,F035,4,F031,42.0
pam,8,F036,4,F031,29.0
pam,8,F037,5,F042,18.0
pam,8,F038,6,F048,17.0
pam,8,F039,6,F048,31.0
pam,8,F040,5,F042,28.0
pam,8,F041,7,F041,0.0
pam,8,F042,5,F042,0.0
pam,8,F043,7,F041,28.0
pam,8,F044,7,F041,39.0
pam,8,F045,7,F041,20.0
pam,8,F046,4,F031,34.0
pam,8,F047,4,F031,25.0
pam,8,F048,6,F048,0.0
pam,8,F049,6,F048,34.0
pam,8,F050,5,F042,40.0
pam,8,F051,6,F048,33.0
pam,8,F052,6,F048,23.0
pam,9,F001,0,F033,16.0
pam,9,F002,1,F007,30.0
pam,9,F003,1,F007,48.0
pam,9,F004,1,F007,36.0
pam,9,F005,2,F016,25.0
pam,9,F006,1,F007,14.0
pam,9,F007,1,F007,0.0
pam,9,F008,3,F011,33.0
pam,9,F009,3,F011,35.0
pam,9,F010,1,F007,37.0
pam,9,F011,3,F011,0.0
pam,9,F012,2,F016,36.0
pam,9,F013,1,F007,46.0
pam,9,F014,3,F011,44.0
pam,9,F015,3,F011,31.0
pam,9,F016,2,F016,0.0
pam,9,F017,2,F016,29.0
pam,9,F018,2,F016,17.0
pam,9,F019,0,F033,24.0
pam,9,F020,2,F016,20.0
pam,9,F021,4,F029,17.0
pam,9,F022,2,F016,25.0
pam,9,F023,5,F023,0.0
pam,9,F024,4,F029,16.0
pam,9,F025,4,F029,24.0
pam,9,F026,2,F016,24.0
pam,9,F027,4,F029,22.0
pam,9,F028,3,F011,20.0
pam,9,F029,4,F029,0.0
pam,9,F030,2,F016,40.0
pam,9,F031,5,F023,25.0
pam,9,F032,5,F023,14.0
pam,9,F033,0,F033,0.0
pam,9,F034,0,F033,31.0
pam,9,F035,5,F023,38.0
pam,9,F036,4,F029,41.0
pam,9,F037,6,F042,18.0
pam,9,F038,7,F041,44.0
pam,9,F039,8,F049,36.0
pam,9,F040,6,F042,28.0
pam,9,F041,7,F041,0.0
pam,9,F042,6,F042,0.0
pam,9,F043,7,F041,28.0
pam,9,F044,7,F041,39.0
pam,9,F045,7,F041,20.0
pam,9,F046,8,F049,17.0
pam,9,F047,8,F049,19.0
pam,9,F048,8,F049,34.0
pam,9,F049,8,F049,0.0
pam,9,F050,6,F042,40.0
pam,9,F051,7,F041,36.0
pam,9,F052,8,F049,22.0
pam,10,F001,0,F033,16.0
pam,10,F002,1,F007,30.0
pam,10,F003,2,F008,38.0
pam,10,F004,1,F007,36.0
pam,10,F005,3,F018,17.0
pam,10,F006,1,F007,14.0
pam,10,F007,1,F007,0.0
pam,10,F008,2,F008,0.0
pam,10,F009,4,F014,24.0
pam,10,F010,2,F008,19.0
pam,10,F011,2,F008,33.0
pam,10,F012,3,F018,19.0
pam,10,F013,1,F007,46.0
pam,10,F014,4,F014,0.0
pam,10,F015,4,F014,27.0
