method,k,facility,cluster,medoid,distance_to_medoid_km
average,9,F001,0,F026,20.0
average,9,F002,1,F010,56.0
average,9,F003,1,F010,26.0
average,9,F004,1,F010,34.0
average,9,F005,0,F026,31.0
average,9,F006,1,F010,27.0
average,9,F007,1,F010,37.0
average,9,F008,1,F010,19.0
average,9,F009,2,F015,38.0
average,9,F010,1,F010,0.0
average,9,F011,2,F015,31.0
average,9,F012,0,F026,27.0
average,9,F013,3,F013,0.0
average,9,F014,2,F015,27.0
average,9,F015,2,F015,0.0
average,9,F016,0,F026,24.0
average,9,F017,0,F026,53.0
average,9,F018,0,F026,14.0
average,9,F019,0,F026,32.0
average,9,F020,0,F026,37.0
average,9,F021,4,F029,17.0
average,9,F022,0,F026,23.0
average,9,F023,5,F023,0.0
average,9,F024,4,F029,16.0
average,9,F025,4,F029,24.0
average,9,F026,0,F026,0.0
average,9,F027,4,F029,22.0
average,9,F028,2,F015,32.0
average,9,F029,4,F029,0.0
average,9,F030,2,F015,35.0
average,9,F031,5,F023,25.0
average,9,F032,5,F023,14.0
average,9,F033,0,F026,35.0
average,9,F034,0,F026,66.0
average,9,F035,5,F023,38.0
average,9,F036,4,F029,41.0
average,9,F037,6,F042,18.0
average,9,F038,7,F051,17.0
average,9,F039,8,F049,36.0
average,9,F040,6,F042,28.0
average,9,F041,7,F051,36.0
average,9,F042,6,F042,0.0
average,9,F043,7,F051,35.0
average,9,F044,7,F051,56.0
average,9,F045,7,F051,32.0
average,9,F046,8,F049,17.0
average,9,F047,8,F049,19.0
average,9,F048,7,F051,33.0
average,9,F049,8,F049,0.0
average,9,F050,6,F042,40.0
average,9,F051,7,F051,0.0
average,9,F052,8,F049,22.0
average,10,F001,0,F033,16.0
average,10,F002,1,F010,56.0
average,10,F003,1,F010,26.0
average,10,F004,1,F010,34.0
average,10,F005,2,F018,17.0
average,10,F006,1,F010,27.0
average,10,F007,1,F010,37.0
average,10,F008,1,F010,19.0
average,10,F009,3,F015,38.0
average,10,F010,1,F010,0.0
average,10,F011,3,F015,31.0
average,10,F012,2,F018,19.0
average,10,F013,4,F013,0.0
average,10,F014,3,F015,27.0
average,10,F015,3,F015,0.0
average,10,F016,2,F018,17.0
average,10,F017,2,F018,43.0
average,10,F018,2,F018,0.0
average,10,F019,0,F033,24.0
average,10,F020,2,F018,36.0
average,10,F021,5,F029,17.0
average,10,F022,0,F033,33.0
average,10,F023,6,F023,0.0
average,10,F024,5,F029,16.0
average,10,F025,5,F029,24.0
average,10,F026,2,F018,14.0
average,10,F027,5,F029,22.0
average,10,F028,3,F015,32.0
average,10,F029,5,F029,0.0
average,10,F030,3,F015,35.0
average,10,F031,6,F023,25.0
average,10,F032,6,F023,14.0
average,10,F033,0,F033,0.0
average,10,F034,0,F033,31.0
average,10,F035,6,F023,38.0
average,10,F036,5,F029,41.0
average,10,F037,7,F042,18.0
average,10,F038,8,F051,17.0
average,10,F039,9,F049,36.0
average,10,F040,7,F042,28.0
average,10,F041,8,F051,36.0
average,10,F042,7,F042,0.0
average,10,F043,8,F051,35.0
average,10,F044,8,F051,56.0
average,10,F045,8,F051,32.0
average,10,F046,9,F049,17.0
average,10,F047,9,F049,19.0
average,10,F048,8,F051,33.0
average,10,F049,9,F049,0.0
average,10,F050,7,F042,40.0
average,10,F051,8,F051,0.0
average,10,F052,9,F049,22.0
