stage,operator,weight,calls,accepted,improved,new_global_best,feasible_repairs,failed_repairs,total_gain_minutes,mean_gain_when_improving,runtime_seconds,mean_destroyed_routes
1,land_reassignment,3.75,2,2,2,2,2,0,16,8.0,14.709,5.5
1,low_utilization,1.5,5,4,1,1,5,0,0,0.0,59.586,5.4
1,random_routes,1.916667,3,3,1,1,3,0,0,0.0,44.707,5.333
1,related_routes,3.75,2,2,2,2,2,0,150,75.0,5.817,5.5
1,worst_time_per_person,1.916667,3,3,1,1,3,0,0,0.0,32.474,5.667
2,land_reassignment,1.0,3,1,0,0,3,0,0,0.0,27.757,7.667
2,low_utilization,1.0,4,4,3,0,4,0,24,8.0,79.981,6.75
2,random_routes,1.0,3,3,0,0,3,0,0,0.0,32.853,7.0
2,related_routes,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0
2,worst_time_per_person,1.0,1,1,0,0,1,0,0,0.0,21.673,8.0
