stage,operator,weight,calls,accepted,improved,new_global_best
1,land_reassignment,1.290039,14,14,1,1
1,low_utilization,1.0,12,12,0,0
1,random_routes,1.0,12,12,0,0
1,related_routes,1.730469,13,13,2,2
1,worst_time_per_person,1.0,9,9,0,0
2,land_reassignment,1.0,10,10,0,0
2,low_utilization,2.203125,14,14,2,2
2,random_routes,1.386719,17,17,1,1
2,related_routes,2.375,8,8,1,1
2,worst_time_per_person,1.386719,11,11,1,1
