stage,global_iteration,iteration,elapsed_seconds,operator,destroyed_routes,accepted,improved_current,new_global_best,current_aircraft_time_minutes,best_aircraft_time_minutes,current_passenger_time_minutes,best_passenger_time_minutes,current_flights,best_flights,temperature
2,61,1,299.137757,land_reassignment,3,1,0,0,15601,15601,121219,121219,97,97,0.002
2,62,2,322.001921,worst_time_per_person,3,1,0,0,15601,15601,121219,121219,97,97,0.00197
2,63,3,329.604549,worst_time_per_person,3,1,0,0,15601,15601,121219,121219,97,97,0.00194045
2,64,4,348.845159,low_utilization,3,1,0,0,15601,15601,121219,121219,97,97,0.0019113432500000001
2,65,5,352.985693,related_routes,3,1,0,0,15601,15601,121219,121219,97,97,0.00188267310125
2,66,6,384.908295,low_utilization,4,1,0,0,15601,15601,121219,121219,97,97,0.00185443300473125
2,67,7,403.11857,low_utilization,3,1,0,0,15601,15601,121219,121219,97,97,0.0018266165096602813
2,68,8,435.137497,related_routes,4,1,1,1,15577,15577,120966,120966,97,97,0.0017992172620153772
2,69,9,446.717592,low_utilization,4,1,1,1,15506,15506,120921,120921,96,96,0.0017722290030851465
2,70,10,451.670295,related_routes,4,1,0,0,15506,15506,120921,120921,96,96,0.0017456455680388693
2,71,11,453.344149,worst_time_per_person,3,1,0,0,15506,15506,120921,120921,96,96,0.0017194608845182862
2,72,12,460.917668,random_routes,3,1,0,0,15506,15506,120921,120921,96,96,0.0016936689712505118
2,73,13,475.649845,random_routes,4,1,0,0,15506,15506,120921,120921,96,96,0.0016682639366817542
2,74,14,495.158112,low_utilization,3,1,0,0,15506,15506,120921,120921,96,96,0.001643239977631528
2,75,15,508.292216,land_reassignment,3,1,0,0,15506,15506,120921,120921,96,96,0.001618591377967055
2,76,16,530.060747,low_utilization,4,1,1,1,15504,15504,121104,121104,96,96,0.001594312507297549
2,77,17,533.020034,worst_time_per_person,3,1,0,0,15504,15504,121104,121104,96,96,0.001570397819688086
2,78,18,535.325403,low_utilization,4,1,0,0,15504,15504,121104,121104,96,96,0.0015468418523927646
2,79,19,540.479849,related_routes,3,1,0,0,15504,15504,121104,121104,96,96,0.001523639224606873
2,80,20,552.996473,random_routes,3,1,0,0,15504,15504,121104,121104,96,96,0.00150078463623777
2,81,21,563.209092,worst_time_per_person,3,1,0,0,15504,15504,121104,121104,96,96,0.0014782728666942035
2,82,22,579.219084,low_utilization,4,1,0,0,15504,15504,121263,121104,96,96,0.0014560987736937903
2,83,23,614.102635,related_routes,4,1,0,0,15504,15504,121263,121104,96,96,0.0014342572920883834
2,84,24,614.15203,land_reassignment,3,1,0,0,15504,15504,121263,121104,96,96,0.0014127434327070576
2,85,25,649.719626,low_utilization,4,1,0,0,15504,15504,121263,121104,96,96,0.0013915522812164517
