operator,uses,repair_success,accepted,primary_improvement,new_best,primary_gain_minutes,runtime_seconds,mean_local_master_size,max_local_master_size
high_cost_route,3,0,0,0,0,0,36.485009,0,0
low_utilization_route,3,1,1,1,1,36,19.973835,36,108
shared_facility_flow,3,1,1,1,1,9,20.946874,386.333,1159
land_heavy_route,3,3,3,3,3,77,35.8756,846.333,979
