stage,operator,weight,calls,accepted,improved,new_global_best
1,land_reassignment,1.0,10,10,0,0
1,low_utilization,3.449219,14,14,4,4
1,random_routes,0.8125,11,11,0,0
1,related_routes,1.6875,9,9,1,1
1,worst_time_per_person,1.580078,16,16,1,1
2,land_reassignment,1.0,5,5,0,0
2,low_utilization,2.657031,22,22,6,5
2,random_routes,1.0,6,6,0,0
2,related_routes,2.211719,15,15,3,3
2,worst_time_per_person,1.90625,12,10,1,1
