stage,global_iteration,iteration,elapsed_seconds,operator,destroyed_routes,destroyed_passengers,removed_aircraft_time_minutes,repair_variants,repaired_routes,accepted,improved_current,new_global_best,current_aircraft_time_minutes,best_aircraft_time_minutes,current_passenger_time_minutes,best_passenger_time_minutes,current_flights,best_flights,temperature
1,1,1,15.724736,low_utilization,5,78,744,413,5,1,0,0,15371,15371,120870,120870,95,95,0.002
1,2,2,26.40009,random_routes,5,91,789,316,5,1,0,0,15371,15371,120870,120870,95,95,0.00197
1,3,3,41.475341,low_utilization,6,92,908,568,6,0,0,0,15371,15371,120870,120870,95,95,0.00194045
1,4,4,53.441293,land_reassignment,6,106,758,324,6,1,1,1,15361,15361,120829,120829,95,95,0.0019113432500000001
1,5,5,60.926503,low_utilization,5,74,821,288,5,1,1,1,15361,15361,120737,120737,95,95,0.00188267310125
1,6,6,70.447207,worst_time_per_person,6,102,1350,403,6,1,0,0,15361,15361,120737,120737,95,95,0.00185443300473125
1,7,7,78.778799,random_routes,5,85,760,322,5,1,0,0,15361,15361,120737,120737,95,95,0.0018266165096602813
1,8,8,91.360712,worst_time_per_person,6,97,1266,524,6,1,0,0,15361,15361,120737,120737,95,95,0.0017992172620153772
1,9,9,96.004142,related_routes,6,94,1500,185,5,1,1,1,15219,15219,122353,122353,94,94,0.0017722290030851465
1,10,10,118.508382,random_routes,6,105,907,698,6,1,0,0,15219,15219,122353,122353,94,94,0.0017456455680388693
1,11,11,121.960878,worst_time_per_person,6,100,1332,292,6,1,1,1,15219,15219,122068,122068,94,94,0.0017194608845182862
1,12,12,131.391414,low_utilization,5,78,814,546,5,1,0,0,15219,15219,122068,122068,94,94,0.0016936689712505118
1,13,13,133.418235,related_routes,5,87,634,324,5,1,0,0,15219,15219,122117,122068,94,94,0.0016682639366817542
1,14,14,136.569505,land_reassignment,6,111,846,222,6,1,0,0,15219,15219,122117,122068,94,94,0.001643239977631528
1,15,15,153.909401,related_routes,6,95,937,576,6,0,0,0,15219,15219,122117,122068,94,94,0.001618591377967055
2,16,1,170.516007,low_utilization,6,93,1005,711,6,1,1,1,15214,15214,121918,121918,94,94,0.002
2,17,2,178.709514,worst_time_per_person,7,129,1800,480,7,1,1,1,15214,15214,121412,121412,94,94,0.00197
2,18,3,214.310831,low_utilization,8,125,1451,1207,8,1,1,1,15183,15183,120794,120794,94,94,0.00194045
2,19,4,231.326823,worst_time_per_person,8,131,1642,667,8,0,0,0,15183,15183,120794,120794,94,94,0.0019113432500000001
2,20,5,251.570146,worst_time_per_person,7,118,1509,1003,7,0,0,0,15183,15183,120794,120794,94,94,0.00188267310125
2,21,6,256.620379,land_reassignment,7,129,1828,284,7,1,0,0,15201,15183,121491,120794,94,94,0.00185443300473125
2,22,7,282.555119,low_utilization,8,123,1292,1029,7,1,1,0,15194,15183,122939,120794,93,94,0.0018266165096602813
2,23,8,295.947499,low_utilization,8,132,1508,1019,8,1,1,0,15183,15183,122896,120794,93,94,0.0017992172620153772
2,24,9,308.163071,random_routes,6,102,911,551,6,1,0,0,15183,15183,122896,120794,93,94,0.0017722290030851465
