stage,operator,weight,calls,accepted,improved,new_global_best,feasible_repairs,failed_repairs,total_gain_minutes,mean_gain_when_improving,runtime_seconds,mean_destroyed_routes
1,land_reassignment,2.375,2,2,1,1,2,0,10,10.0,15.116,6.0
1,low_utilization,1.625,4,3,1,1,4,0,0,0.0,47.715,5.25
1,random_routes,1.0,3,3,0,0,3,0,0,0.0,41.511,5.333
1,related_routes,1.833333,3,2,1,1,3,0,142,142.0,24.009,5.667
1,worst_time_per_person,1.916667,3,3,1,1,3,0,0,0.0,25.554,6.0
2,land_reassignment,1.0,1,1,0,0,1,0,0,0.0,5.049,7.0
2,low_utilization,1.0,4,4,4,2,4,0,54,13.5,91.534,7.5
2,random_routes,1.0,1,1,0,0,1,0,0,0.0,12.215,6.0
2,related_routes,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0
2,worst_time_per_person,1.0,3,1,1,1,3,0,0,0.0,45.452,7.333
