stage,operator,weight,calls,accepted,improved,new_global_best,feasible_repairs,failed_repairs,total_gain_minutes,mean_gain_when_improving,runtime_seconds,mean_destroyed_routes
1,land_reassignment,1.040039,10,10,1,1,10,0,10,10.0,16.768,3.5
1,low_utilization,0.5625,10,9,0,0,10,0,0,0.0,42.28,3.5
1,random_routes,2.496745,11,11,2,2,11,0,26,13.0,36.913,3.455
1,related_routes,2.740327,18,17,2,2,18,0,47,23.5,41.003,3.778
1,worst_time_per_person,1.972656,11,11,1,1,11,0,0,0.0,30.258,3.364
2,land_reassignment,0.8125,5,5,0,0,5,0,0,0.0,5.574,4.4
2,low_utilization,0.971875,13,13,1,0,13,0,9,9.0,49.309,4.615
2,random_routes,0.679688,10,9,0,0,10,0,0,0.0,47.591,4.4
2,related_routes,1.0,14,14,0,0,14,0,0,0.0,30.153,4.5
2,worst_time_per_person,1.707031,18,18,3,1,18,0,13,4.333,61.939,4.444
