stage,iteration,operator,weight
1,15,random_routes,2.375
1,15,related_routes,1.0
1,15,low_utilization,1.0
1,15,worst_time_per_person,3.75
1,15,land_reassignment,1.6875
1,30,random_routes,2.03125
1,30,related_routes,3.75
1,30,low_utilization,1.0
1,30,worst_time_per_person,3.0625
1,30,land_reassignment,1.515625
1,45,random_routes,1.773438
1,45,related_routes,3.368056
1,45,low_utilization,0.75
1,45,worst_time_per_person,2.296875
1,45,land_reassignment,1.386719
1,60,random_routes,2.496745
1,60,related_routes,2.740327
1,60,low_utilization,0.5625
1,60,worst_time_per_person,1.972656
1,60,land_reassignment,1.040039
2,15,random_routes,1.0
2,15,related_routes,1.0
2,15,low_utilization,1.0
2,15,worst_time_per_person,1.916667
2,15,land_reassignment,1.0
2,30,random_routes,0.875
2,30,related_routes,1.0
2,30,low_utilization,0.75
2,30,worst_time_per_person,1.8125
2,30,land_reassignment,1.0
2,45,random_routes,0.90625
2,45,related_routes,1.0
2,45,low_utilization,0.9625
2,45,worst_time_per_person,1.609375
2,45,land_reassignment,0.75
2,60,random_routes,0.679688
2,60,related_routes,1.0
2,60,low_utilization,0.971875
2,60,worst_time_per_person,1.707031
2,60,land_reassignment,0.8125
